Year	Name	Nationality	Time	Age category
2013	Siebe Vrieswijk	NED	14:17:33	18-29
2012	Sander Arends	BEL	14:12:32	30-39
2011	Lloyd Moore	IRE	13:50:00	50-59
2010	John MacDonald	GBR	13:43:20	40-49
2009	Ole Thomsen	DEN	13:19:39	60-66
2008	Bo Leerberg	DEN	13:42:32	30-39
2007	Geoffrey Woodhouse	GBR	13:52:12	60+
2006	Adam Witherington	GBR	13:55:01	30-39
2005	Jordi Moix	ESP	13:23:43	40-49
2004	Peter Glendawar	JER	13:21:35	50-59
2003	Alwin Siegersma	NED	13:49:40	18-29
2002	Philippe Rabut	FRA	13:52:25	40-49
2001	Yves Gachon	FRA	12:56:44	18-29
2000	Antoni Busquet	AND	13:23:59	40-49
1999	Christian Crampe	FRA	13:43:39	50-59
1998	Christiaan Kesselmans	NED	13:02:08	50-59
1997	Gilles Penot	FRA	12:03:30	30-39
1996	Laurent Morel	BEL	11:57:27	18-29
1995	Willem Feyen	NED	11:34:02	40-49
1994	Marco Manenti	ITA	12:56:59	40-49
1993	Willem van de Meent	NED	12:56:59	50-59
1992	Jean Gain	FRA	12:30:00	60+
1991	Carl Westra	NED	12:32:02	40-49
1990	Fernando Silvestre Dos Santos	FRA	12:21:10	18-29
1989	Pieter Gietermans	NED	12:56:59	40-49
1988	J.Luc Mason	FRA	12:11:00	30-39
1987	Phillpe Gilson	BEL	12:33:11	30-39
1986	Javier Fancisco Etxaide-Juantorena	ESP	11:56:14	30-39
1985	Maurice Paret	FRA	12:56:28	50-59
1984	Joseph Wislet	FRA	13:05:31	30-39
1983	Edouard Richard	FRA	13:58:37	30-39
