Week	Date	Opponent	Result	Attendance
1	September 10, 1989	at Minnesota Vikings	L 38–7	54,015
2	September 17, 1989	at San Diego Chargers	W 34–27	42,013
3	September 24, 1989	Buffalo Bills	L 47–41	57,278
4	October 1, 1989	Miami Dolphins	W 39–7	53,326
5	October 8, 1989	at New England Patriots	L 23–13	59,828
6	October 15, 1989	at Chicago Bears	W 33–28	64,383
7	October 22, 1989	Pittsburgh Steelers	W 27–0	59,091
8	October 29, 1989	at Cleveland Browns	L 28–17	78,765
9	November 5, 1989	Detroit Lions	W 35–31	48,056
10	November 13, 1989	Cincinnati Bengals	W 26–24	60,694
11	November 19, 1989	Los Angeles Raiders	W 23–7	59,198
12	November 26, 1989	at Kansas City Chiefs	L 34–0	51,342
13	December 3, 1989	at Pittsburgh Steelers	W 23–16	40,541
14	December 10, 1989	Tampa Bay Buccaneers	W 20–17	54,532
15	December 17, 1989	at Cincinnati Bengals	L 61–7	47,510
16	December 23, 1989	Cleveland Browns	L 24–20	58,852
