Team	Car(s)	#	Driver(s)	Primary Sponsor(s)	Owner(s)	Crew Chief
BK Racing	Toyota Camry	83	David Reutimann	Burger King / Dr Pepper	Ron Devine	Doug Richert
BK Racing	Toyota Camry	93	Travis Kvapil	Burger King / Dr Pepper	Ron Devine	Dale Ferguson
Earnhardt Ganassi Racing	Chevrolet SS	1	Jamie McMurray	McDonald's / Cessna	Felix Sabates	Kevin Manion
Earnhardt Ganassi Racing	Chevrolet SS	42	Juan Pablo Montoya	Target	Chip Ganassi	Chris Heroy
FAS Lane Racing	Ford Fusion	32	Ken Schrader / Terry Labonte Timmy Hill (R)	Federated Auto Parts / C&J Energy OXYwater	Frank Stoddard	Frank Stoddard
Front Row Motorsports	Ford Fusion	34	David Ragan	Detail Doctor / Taco Bell / Farm Rich	Bob Jenkins	Jay Guy
Front Row Motorsports	Ford Fusion	35	Josh Wise	Blockbuster.com / MDS Transport / The Pete Store	Jerry Freeze	Todd Anderson
Front Row Motorsports	Ford Fusion	38	David Gilliland	Love's Travel Stops / Long John Silver's	Brad Jenkins	Frank Kerr
Furniture Row Racing	Chevrolet SS	78	Kurt Busch	Furniture Row	Barney Visser	Todd Berrier
Germain Racing	Ford Fusion	13	Casey Mears	GEICO	Bob Germain, Jr.	Bootie Barker
Hendrick Motorsports	Chevrolet SS	5	Kasey Kahne	Farmers Insurance / Quaker State	Linda Hendrick	Kenny Francis
Hendrick Motorsports	Chevrolet SS	24	Jeff Gordon	Drive to End Hunger / Axalta	Rick Hendrick	Alan Gustafson
Hendrick Motorsports	Chevrolet SS	48	Jimmie Johnson	Lowe's / Kobalt Tools	Jeff Gordon	Chad Knaus
Hendrick Motorsports	Chevrolet SS	88	Dale Earnhardt, Jr.	National Guard / Diet Mountain Dew	Rick Hendrick	Steve Letarte
Joe Gibbs Racing	Toyota Camry	11	Denny Hamlin	FedEx	J. D. Gibbs	Darian Grubb
Joe Gibbs Racing	Toyota Camry	18	Kyle Busch	Mars Brands / Interstate Batteries	Joe Gibbs	Dave Rogers
Joe Gibbs Racing	Toyota Camry	20	Matt Kenseth	Husky / Dollar General	Joe Gibbs	Jason Ratcliff
JTG Daugherty Racing	Toyota Camry	47	Bobby Labonte / A. J. Allmendinger	Kingsford / Clorox / Bush's Beans	Tad Geschickter	Brian Burns
Michael Waltrip Racing	Toyota Camry	15	Clint Bowyer	5-hour Energy	Robert Kauffman	Brian Pattie
Michael Waltrip Racing	Toyota Camry	55	Brian Vickers / Michael Waltrip / Elliott Sadler	Aaron's Dream Machine	Michael Waltrip	Scott Miller
Michael Waltrip Racing	Toyota Camry	56	Martin Truex, Jr.	NAPA Auto Parts	Michael Waltrip	Chad Johnston
NEMCO Motorsports	Toyota Camry	87	Joe Nemechek	Royal Teak	Andrea Nemechek	Scott Eggleston
Penske Racing	Ford Fusion	2	Brad Keselowski	Miller Lite	Roger Penske	Paul Wolfe
Penske Racing	Ford Fusion	22	Joey Logano	Shell / Pennzoil	Walter Czarnecki	Todd Gordon
Phoenix Racing	Chevrolet SS	51	Justin Allgaier / Ryan Truex	Brandt	James Finch	Nick Harrison
Richard Childress Racing	Chevrolet SS	27	Paul Menard	Menards	Richard Childress	Slugger Labbe
Richard Childress Racing	Chevrolet SS	29	Kevin Harvick	Budweiser / Rheem	Richard Childress	Gil Martin
Richard Childress Racing	Chevrolet SS	31	Jeff Burton	Caterpillar, Inc. / Cheerios	Richard Childress	Luke Lambert
Richard Petty Motorsports	Ford Fusion	9	Marcos Ambrose	Stanley/DeWalt Power Tools	Richard Petty	Drew Blickensderfer
Richard Petty Motorsports	Ford Fusion	43	Aric Almirola	Smithfield Foods	Richard Petty	Todd Parrott
Roush Fenway Racing	Ford Fusion	16	Greg Biffle	3M / Bondo	Jack Roush	Matt Puccia
Roush Fenway Racing	Ford Fusion	17	Ricky Stenhouse, Jr. (R)	Best Buy / Valvoline / Zest	John W. Henry	Scott Graves
Roush Fenway Racing	Ford Fusion	99	Carl Edwards	Fastenal / Aflac / UPS / Subway	Jack Roush	Jimmy Fennig
Stewart-Haas Racing	Chevrolet SS	10	Danica Patrick (R)	Go Daddy	Gene Haas	Tony Gibson
Stewart-Haas Racing	Chevrolet SS	14	Mark Martin / Austin Dillon	Bass Pro Shops / Mobil 1	Margaret Haas	Steve Addington
Stewart-Haas Racing	Chevrolet SS	39	Ryan Newman	Quicken Loans / Haas Automation	Tony Stewart	Matt Borland
Swan Racing	Toyota Camry	30	Cole Whitt	Widow Wax / Lean1	Brandon Davis	Steve Lane
Tommy Baldwin Racing	Chevrolet SS	7	Dave Blaney	Accell Construction/ Sany	Tommy Baldwin, Jr.	Tommy Baldwin, Jr.
