Week	Date	Opponent	Result	Attendance
1	September 15, 1968	at Chicago Bears	W 38-28	41,321
2	September 22, 1968	at New Orleans Saints	L 37-17	65,941
3	September 29, 1968	at New York Giants	L 48-21	62,797
4	October 6, 1968	Philadelphia Eagles	W 17-14	50,816
5	October 13, 1968	Pittsburgh Steelers	W 16-13	50,659
6	October 20, 1968	at St. Louis Cardinals	L 41-14	46,456
7	October 27, 1968	New York Giants	L 13-10	50,839
8	November 3, 1968	at Minnesota Vikings	L 27-14	47,644
9	November 10, 1968	at Philadelphia Eagles	W 16-10	59,133
10	November 17, 1968	Dallas Cowboys	L 44-24	50,816
11	November 24, 1968	Green Bay Packers	L 27-7	50,621
12	November 28, 1968	at Dallas Cowboys	L 29-20	66,076
13	December 8, 1968	Cleveland Browns	L 24-21	50,661
14	December 15, 1968	Detroit Lions	W 14-3	50,123
