Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1984	Icuk Sugiarto	Helen Troke	Christian Hadinata Hadibowo	Gillian Gilks Karen Beckman	no competition
1985	Icuk Sugiarto	Wu Jianqiu	Rudy Heryanto Bobby Ertanto	Guan Weizhen Wu Jianqiu	no competition
1986	no competition	no competition	no competition	no competition	no competition
1987	Zhao Jianhua	Luo Yun	Tian Bingyi Li Yongbo	Guan Weizhen Lin Ying	Peter Buch Grete Mogensen
1988	Xiong Guobao	Li Lingwei	Tian Bingyi Li Yongbo	Chung Myung-hee Hwang Hye-young	Steen Fladberg Gillian Clark
1989	Alan Budikusuma	Tang Jiuhong	Park Joo-bong Kim Moon-soo	Guan Weizhen Lin Ying	Park Joo-bong Chung Myung-hee
1990	Sompol Kukasemkij	Huang Hua	Park Joo-bong Kim Moon-soo	Yao Fen Lai Caiqin	Park Joo-bong Chung Myung-hee
1991	Alan Budikusuma	Susi Susanti	Eddy Hartono Rudy Gunawan	Hwang Hye-young Gil Young-ah	Lee Sang-bok Chung So-young
1992	Joko Suprianto	Susi Susanti	Ricky Subagja Rexy Mainaky	Nong Qunhua Zhou Lei	Aryono Miranat Eliza Nathanael
1993	Joko Suprianto	Susi Susanti	Bambang Suprianto Rudy Gunawan	Ge Fei Gu Jun	Liu Jianjun Wang Xiaoyuan
1994	Joko Suprianto	Susi Susanti	Denny Kantono Antonius Budi Ariantho	Ge Fei Gu Jun	Tri Kusharjanto Minarti Timur
1995	Dong Jiong	Lim Xiaoqing	Jiang Xin Huang Zhanzhong	Gil Young-ah Jang Hye-ock	Park Joo-bong Ra Kyung-min
1996	Dong Jiong	Wang Chen	Candra Wijaya Sigit Budiarto	Deyana Lomban Indarti Isolina	Tri Kusharjanto Minarti Timur
1997	Hendrawan	Wang Chen	Yoo Yong-sung Lee Dong-soo	Tang Yongshu [Qin Yiyuan]]	Michael Søgaard Rikke Olsen
1998	no competition	no competition	no competition	no competition	no competition
1999	Chen Gang	Dai Yun	Yu Jinhao Chen Qiqiu	Qin Yiyuan Gao Ling	Liu Yong Ge Fei
2000	Hendrawan	Ye Zhaoying	Zhang Jun Zhang Wei	Ge Fei Gu Jun	Zhang Jun Gao Ling
2001	Yong Hock Kin	Tracey Hallam	Sigit Budiarto Luluk Hadiyanto	Eny Erlangga Jo Novita	Candra Wijaya Jo Novita
2002	no competition	no competition	no competition	no competition	no competition
2003	Ronald Susilo	Dai Yun	Yoo Yong-sung Ha Tae-kwon	Wei Yili Zhao Tingting	Chen Qiqiu Zhao Tingting
2004	Boonsak Ponsana	Yao Jie	Luluk Hadiyanto Alvent Yulianto	Zhang Dan Zhang Yawen	Nathan Robertson Gail Emms
2005	Muhammad Hafiz Hashim	Yao Jie	Jung Jae-sung Lee Jae-jin	Lee Kyung-won Lee Hyo-jung	Lee Jae-jin Lee Hyo-jung
2006	Chen Yu	Zhu Lin	Lee Yong-dae Jung Jae-sung	Lee Kyung-won Lee Hyo-jung	Lee Yong-dae Hwang Yu-mi
2007	Chen Hong	Zhu Lin	Lee Jae-jin Hwang Ji-man	Gao Ling Huang Sui	He Hanbin Yu Yang
2008	Lin Dan	Xie Xingfang	Fu Haifeng Cai Yun	Yang Wei Zhang Jiewen	Xie Zhongbo Zhang Yawen
2009	Nguyen Tien Minh	Liu Jian	Chan Peng Soon Lim Khim Wah	Yang Wei Zhang Jiewen	Songphon Anugritayawon Kunchala Voravichitchaikul
2010	cancelled	cancelled	cancelled	cancelled	cancelled
2011	Chen Long	Li Xuerui	Jung Jae-sung Lee Yong-dae	Tian Qing Zhao Yunlei	Lee Sheng-mu Chien Yu-chin
2012	Sony Dwi Kuncoro	Saina Nehwal	Liu Xiaolong Qiu Zihan	Lam Narissapat Saralee Thungthongkam	Tao Jiaming Tang Jinhua
2013	Srikanth Kidambi	Ratchanok Inthanon	Shin Baek-cheol Yoo Yeon-seong	Greysia Polii Nitya Krishinda Maheswari	Markis Kido Pia Zebadiah
