Driver	Constructor	Laps	Time/Retired	Grid
Damon Hill	Williams - Renault	53	1:17:07.509	2
Jean Alesi	Ferrari	53	+40.012	3
Michael Andretti	McLaren - Ford	52	+1 Lap	9
Karl Wendlinger	Sauber	52	+1 Lap	15
Riccardo Patrese	Benetton - Ford	52	+1 Lap	10
Érik Comas	Larrousse - Lamborghini	52	+1 Lap	20
Pierluigi Martini	Minardi - Ford	51	+2 Laps	22
Christian Fittipaldi	Minardi - Ford	51	+2 Laps	24
Philippe Alliot	Larrousse - Lamborghini	51	+2 Laps	16
Luca Badoer	Lola - Ferrari	51	+2 Laps	25
Pedro Lamy	Lotus - Ford	49	Electrical	26
Alain Prost	Williams - Renault	48	Engine	1
Andrea de Cesaris	Tyrrell - Yamaha	47	Oil pressure	18
Ukyo Katayama	Tyrrell - Yamaha	47	+6 Laps	17
Michele Alboreto	Lola - Ferrari	23	Suspension	21
Michael Schumacher	Benetton - Ford	21	Engine	5
Mark Blundell	Ligier - Renault	20	Spun off	14
Gerhard Berger	Ferrari	15	Suspension	6
Johnny Herbert	Lotus - Ford	14	Spun off	7
Martin Brundle	Ligier - Renault	8	Collision	12
Ayrton Senna	McLaren - Ford	8	Collision	4
Aguri Suzuki	Footwork - Mugen-Honda	0	Collision	8
Derek Warwick	Footwork - Mugen-Honda	0	Collision	11
JJ Lehto	Sauber	0	Collision	13
Rubens Barrichello	Jordan - Hart	0	Collision	19
Marco Apicella	Jordan - Hart	0	Collision	23
