Pos	Driver	Starts	Finishes	Wins	Podiums	Stage wins	Points
1	Sébastien Loeb	12	11	7	9	88	93
2	Mikko Hirvonen	12	11	4	11	51	92
3	Daniel Sordo	12	12	0	7	18	64
4	Jari-Matti Latvala	12	10	1	4	40	41
5	Petter Solberg	10	7	0	2	10	35
6	Henning Solberg	12	12	0	2	8	33
7	Matthew Wilson	12	11	0	0	2	28
8	Sébastien Ogier	12	8	0	1	13	24
9	Federico Villagra	8	7	0	0	0	16
10	Conrad Rautenbach	12	7	0	0	0	9
11	Mads Østberg	7	4	0	0	1	7
12	Khalid al-Qassimi	9	9	0	0	0	6
13	Chris Atkinson	1	1	0	0	0	4
14	Evgeny Novikov	8	4	0	0	4	4
15	Matti Rantanen	1	1	0	0	0	4
16	Krzysztof Hołowczyc	1	1	0	0	0	3
17	Jari Ketomaa	1	1	0	0	0	3
18	Nasser Al-Attiyah	6	5	0	0	0	1
19	Urmo Aava	3	3	0	0	0	1
