Week	Date	Opponent	Result	Attendance	Team Record	Game Site
1	September 11, 1960	at Oakland Raiders	W 37–22	12,703	1-0	Kezar Stadium
2	September 18, 1960	Los Angeles Chargers	W 38–28	20,156	2-0	Jeppesen Stadium
3	September 25, 1960	Oakland Raiders	L 13–14	16,421	2-1	Jeppesen Stadium
4	Bye	Bye	Bye	Bye	Bye	Bye
5	October 9, 1960	New York Titans	W 27–21	16,151	3-1	Jeppesen Stadium
6	October 16, 1960	Dallas Texans	W 20–10	19,026	4-1	Jeppesen Stadium
7	October 23, 1960	at New York Titans	W 42–28	21,000	5-1	Polo Grounds
8	October 30, 1960	at Buffalo Bills	L 24–25	23,001	5-2	War Memorial Stadium
9	November 6, 1960	at Denver Broncos	W 45–25	14,489	6-2	Bears Stadium
10	November 13, 1960	at Los Angeles Chargers	L 21–24	21,805	6-3	Los Angeles Memorial Coliseum
11	November 20, 1960	Denver Broncos	W 20–10	20,778	7-3	Jeppesen Stadium
12	November 25, 1960	at Boston Patriots	W 24–10	27,123	8-3	Nickerson Field
13	December 4, 1960	at Dallas Texans	L 0–24	20,000	8-4	Cotton Bowl
14	December 11, 1960	Buffalo Bills	W 31–23	25,247	9-4	Jeppesen Stadium
15	December 18, 1960	Boston Patriots	W 37–21	22,352	10-4	Jeppesen Stadium
