Round	Player	Position	Nationality	College/Junior/Club Team
1	Brad Brown	Defenceman	Canada	North Bay Centennials (OHL)
2	Jose Theodore	Goalie	Canada	St-Jean Lynx (QMJHL)
3	Chris Murray	Right Wing	Canada	Kamloops Blazers (WHL)
3	Marko Kiprusoff	Defenceman	Finland	TPS (Finland)
3	Martin Belanger	Defence	Canada	Granby Bisons (QMJHL)
4	Arto Kuki	Center	Finland	Espoo Blues (FIN)
5	Jimmy Drolet	Defenceman	Canada	St. Hyacinthe Lasers (QMJHL)
6	Joel Irving	Center	Canada	Regina Pat Canadiens (Midget AAA)
7	Jessie Rezansoff	Right Wing	Canada	Regina Pats (WHL)
8	Peter Strom	Left Wing	Sweden	Frölunda HC (Sweden)
9	Tomas Vokoun	Goalie	Czechoslovakia	Kladno (Czech)
10	Chris Aldous	Defence	United States	Northwood Prep. (N.Y)
11	Ross Parsons	Defenceman	Canada	Regina Pats (WHL)
