Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Sevilla FC	42	80	23	11	8	66	39	+27
2	Real Betis	42	75	21	12	9	49	32	+17
3	CD Tenerife	42	74	21	11	10	58	32	+26
4	Atlético de Madrid	42	74	21	11	10	59	39	+20
5	Albacete	42	66	18	12	12	46	40	+6
6	Recreativo de Huelva	42	65	15	20	7	45	29	+16
7	Sporting de Gijón	42	63	17	12	13	55	49	+6
8	Levante UD	42	60	13	21	8	58	50	+8
9	UD Salamanca	42	59	17	8	17	51	48	+3
10	Real Jaén	42	59	15	14	13	37	40	-3
11	CF Extremadura	42	58	16	10	16	42	46	-4
12	Córdoba CF	42	56	14	14	14	40	43	-3
13	Real Murcia	42	52	13	13	16	53	54	-1
14	CD Badajoz	42	51	10	21	11	34	38	-4
15	SD Eibar	42	50	11	17	14	30	32	-2
16	Racing de Ferrol	42	50	12	14	16	46	50	-4
17	CD Leganés	42	47	9	20	13	45	41	+4
18	Elche CF	42	46	10	16	16	45	56	-11
19	SD Compostela	42	45	11	12	19	41	65	-24
20	Universidad de Las Palmas	42	39	8	15	19	34	63	-29
21	Getafe CF	42	35	8	11	23	42	65	-23
22	UE Lleida	42	28	5	13	24	40	65	-25
