Title	Series	Director	Production Num.	Release date
Daffy Duck and Egghead	MM	Tex Avery	8226	1938-01-01
Porky's Poppa	LT	Bob Clampett	8352	1938-01-15
My Little Buckeroo	MM	Friz Freleng	8227	1938-01-29
Porky at the Crocadero	LT	Frank Tashlin	8090	1938-02-05
Jungle Jitters	MM	Friz Freleng	8306	1938-02-19
What Price Porky	LT	Bob Clampett	8404	1938-02-26
The Sneezing Weasel	MM	Tex Avery	8310	1938-03-12
Porky's Phoney Express	LT	Cal Howard , Cal Dalton	8368	1938-03-19
A Star Is Hatched	MM	Friz Freleng	8536	1938-04-02
Porky's Five and Ten	LT	Bob Clampett	8453	1938-04-16
The Penguin Parade	MM	Tex Avery	8311	1938-04-23
Porky's Hare Hunt	LT	Ben Hardaway	8405	1938-04-30
Now That Summer is Gone	MM	Frank Tashlin	8403	1938-05-14
Injun Trouble	LT	Bob Clampett	8505	1938-05-21
The Isle of Pingo-Pongo	MM	Tex Avery	8402	1938-05-28
Porky the Fireman	LT	Frank Tashlin	8182	1938-06-04
Katnip Kollege	MM	Cal Dalton, Cal Howard	8487	1938-06-11
Have You Got Any Castles?	MM	Frank Tashlin	8425	1938-06-25
Porky's Party	LT	Bob Clampett	8592	1938-06-25
Love and Curses	MM	Ben Hardaway, Cal Dalton	8504	1938-07-09
Porky's Spring Planting	LT	Frank Tashlin	8307	1938-07-16
Cinderella Meets Fella	MM	Tex Avery	8424	1938-07-23
Porky & Daffy	LT	Bob Clampett	8594	1938-08-06
Major Lied 'Til Dawn	MM	Frank Tashlin	8488	1938-08-13
A-Lad-In Bagdad	MM	Cal Howard, Cal Dalton	8595	1938-08-27
Wholly Smoke	LT	Frank Tashlin	8309	1938-08-27
Cracked Ice	MM	Frank Tashlin	8507	1938-09-10
A Feud There Was	MM	Tex Avery	8506, BR 1317	1938-09-24
Porky in Wackyland	LT	Bob Clampett	8608	1938-09-24
Little Pancho Vanilla	MM	Frank Tashlin	8599	1938-10-08
Porky's Naughty Nephew	LT	Bob Clampett	8674	1938-10-15
Johnny Smith and Poker-Huntas	MM	Tex Avery	8597	1938-10-22
Porky in Egypt	LT	Bob Clampett	8682	1938-11-05
You're an Education	MM	Frank Tashlin	8681	1938-11-05
The Night Watchman	MM	Chuck Jones	8607	1938-11-19
The Daffy Doc	LT	Bob Clampett	8686	1938-11-26
Daffy Duck in Hollywood	MM	Tex Avery	8609	1938-12-03
Count Me Out	MM	Ben Hardaway, Cal Dalton	8687	1938-12-17
Porky the Gob	LT	Ben Hardaway, Cal Dalton	8610	1938-12-17
The Mice Will Play	MM	Tex Avery	8683	1938-12-31
