Year	Competition	Club	Nation	Result
2010	Preseason	Club Universidad de Guadalajara	Mexico	W 0–1
2010	Preseason	Chivas de Guadalajara	Mexico	D 2–2
2010	Friendly	Celtic	Scotland	W 1–0
2010	Friendly	Manchester United	England	L 0–1
2010	Friendly	Chivas de Guadalajara	Mexico	W 1–0
2011	Preseason	Olympiakos Chersonissos F.C.	Greece	W 0–5
2011	Preseason	Ergotelis F.C.	Greece	D 1–1
2011	Friendly	Everton	England	W 1–0
2011	World Football Challenge	Real Madrid	Spain	L 1–2
2012	Preseason	Pérez Zeledón	Costa Rica	L 1–0
2012	Preseason	Costa Rica U-20	Costa Rica	W 0–3
2012	Preseason	Belén Siglo XXI	Costa Rica	L 2–0
2012	Friendly	Schalke 04	Germany	W 2–1
2012	Friendly	Aston Villa	England	L 0–1
2013	Friendly	UNAM Pumas	Mexico	W 1–0
2013	Friendly	Stoke City F.C.	England	L 0–2
