Name	Years	Gender	Area	Authority	Decile	Roll
Fairhaven School	1–6	Coed	Te Puke	State	5	389
Kaimai School	1–8	Coed	Kaimai	State	7	81
Katikati College	7–13	Coed	Katikati	State	6	873
Katikati Primary School	1–6	Coed	Katikati	State	5	518
Maketu School	1–6	Coed	Maketu	State	2	65
Matahui Road School	1–8	Coed	Katikati	Private	9	73
Omokoroa Point School	1–8	Coed	Omokoroa	State	9	199
Omokoroa School	1–8	Coed	Omokoroa	State	10	256
Oropi School	1–8	Coed	Oropi	State	9	166
Otamarakau School	1–8	Coed	Te Puke	State	5	57
Paengaroa School	1–6	Coed	Paengaroa	State	4	169
Pahoia School	1–6	Coed	Pahoia	State	8	225
Pongakawa School	1–8	Coed	Te Puke	State	5	280
Pukehina School	1–8	Coed	Pukehina	State	3	27
Pyes Pa Road School	1–8	Coed	Pyes Pa	State	9	168
Rangiuru School	1–8	Coed	Te Puke	State	6	60
Te Kura o Te Moutere o Matakana	1–8	Coed	Matakana Island	State	3	38
Te Puke High School	9–13	Coed	Te Puke	State	5	920
Te Puke Intermediate	7–8	Coed	Te Puke	State	4	329
Te Puke Primary School	1–6	Coed	Te Puke	State	3	297
Te Puna School	1–8	Coed	Te Puna	State	8	215
Te Ranga School	1–8	Coed	Te Puke	State	5	99
TKKM o Te Matai	1–8	Coed	Te Puke	State	2	52
Waihi Beach School	1–6	Coed	Waihi Beach	State	6	250
Whakamarama School	1–8	Coed	Whakamarama	State	8	44
