Week	Date	Opponent	Result	Record	Game Site	Attendance
1	September 6, 1992	Cleveland Browns	W 14–3	1–0	Hoosier Dome	50,766
2	September 13, 1992	Houston Oilers	L 10–20	1–1	Hoosier Dome	44,851
3	September 20, 1992	at Buffalo Bills	L 0–38	1–2	Rich Stadium	77,781
4	Bye	Bye	Bye	Bye	Bye	Bye
5	October 4, 1992	at Tampa Bay Buccaneers	W 24–14	2–2	Tampa Stadium	56,585
6	October 11, 1992	New York Jets	W 6–3	3–2	Hoosier Dome	48,393
7	October 18, 1992	San Diego Chargers	L 14–34	3–3	Hoosier Dome	48,552
8	October 25, 1992	at Miami Dolphins	W 31–20	4–3	Joe Robbie Stadium	61,117
9	November 1, 1992	at San Diego Chargers	L 0–26	4–4	Jack Murphy Stadium	40,324
10	November 8, 1992	Miami Dolphins	L 0–28	4–5	Hoosier Dome	59,892
11	November 15, 1992	New England Patriots	L 34–37	4–6	Hoosier Dome	42,631
12	November 22, 1992	at Pittsburgh Steelers	L 14–30	4–7	Three Rivers Stadium	51,101
13	November 29, 1992	Buffalo Bills	W 16–13	5–7	Hoosier Dome	50,221
14	December 6, 1992	at New England Patriots	W 6–0	6–7	Foxboro Stadium	19,429
15	December 13, 1992	at New York Jets	W 10–6	7–7	The Meadowlands	33,684
16	December 20, 1992	Phoenix Cardinals	W 16–13	8–7	Hoosier Dome	46,763
17	December 27, 1992	at Cincinnati Bengals	W 21–17	9–7	Riverfront Stadium	47,837
