Rank	County	Population (1960)	Population (2000)	Population (2040)
1	Oslo	471,511	507,467	823,549
2	Akershus	226,948	467,052	765,400
3	Hordaland	338,967	435,219	656,251
4	Rogaland	236,517	373,210	633,701
5	Sør-Trøndelag	210,545	262,852	385,149
6	Østfold	201,634	248,217	356,996
7	Buskerud	167,796	236,811	350,966
8	Møre og Romsdal	212,020	243,158	312,806
9	Nordland	238,657	239,109	254,802
10	Vestfold	171,982	212,775	300,791
11	Hedmark	177,908	187,103	221,903
12	Oppland	166,028	182,701	212,967
13	Vest-Agder	108,172	155,691	233,178
14	Telemark	149,539	165,038	196,148
15	Troms	126,799	151,160	177,842
16	Nord-Trøndelag	116,642	127,108	156,388
17	Aust-Agder	77,130	102,178	147,949
18	Sogn og Fjordane	100,033	107,589	120,192
19	Finnmark	71,726	74,059	78,812
Sum	Norway	3,570,554	4,478,497	6,385,791
