Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 4, 2003	New York Jets	W 16-13	FedEx Field	1-0	85,420
2	September 14, 2003	at Atlanta Falcons	W 33-31	Georgia Dome	2-0	70,241
3	September 21, 2003	New York Giants	L 21-24 (OT)	FedEx Field	2-1	84,856
4	September 28, 2003	New England Patriots	W 20-17	FedEx Field	3-1	83,632
5	October 5, 2003	at Philadelphia Eagles	L 25-27	Lincoln Financial Field	3-2	67,792
6	October 12, 2003	Tampa Bay Buccaneers	L 13-35	FedEx Field	3-3	85,490
7	October 19, 2003	at Buffalo Bills	L 7-24	Ralph Wilson Stadium	3-4	73,149
8	Bye	Bye	Bye	Bye	Bye	Bye
9	November 2, 2003	at Dallas Cowboys	L 14-21	Texas Stadium	3-5	64,002
10	November 9, 2003	Seattle Seahawks	W 27-20	FedEx Field	4-5	80,728
11	November 16, 2003	at Carolina Panthers	L 17-20	Ericsson Stadium	4-6	73,263
12	November 23, 2003	at Miami Dolphins	L 23-24	Pro Player Stadium	4-7	73,578
13	November 30, 2003	New Orleans Saints	L 20-24	FedEx Field	4-8	76,821
14	December 7, 2003	at New York Giants	W 20-7	Giants Stadium	5-8	78,217
15	December 14, 2003	Dallas Cowboys	L 0-27	FedEx Field	5-9	70,284
16	December 21, 2003	at Chicago Bears	L 24-27	Soldier Field	5-10	61,719
17	December 27, 2003	Philadelphia Eagles	L 7-31	FedEx Field	5-11	76,766
