Week	Date	Opponent	Result	Attendance
1	September 30, 1951	at San Francisco 49ers	L 24–10	52,219
2	October 7, 1951	at Los Angeles Rams	W 38–23	67,186
3	October 14, 1951	Washington Redskins	W 45–0	33,968
4	October 21, 1951	Pittsburgh Steelers	W 17–0	32,409
5	October 28, 1951	New York Giants	W 14–13	56,947
6	November 4, 1951	at Chicago Cardinals	W 34–17	19,742
7	November 11, 1951	Philadelphia Eagles	W 20–17	36,571
8	November 18, 1951	at New York Giants	W 10–0	52,215
9	November 25, 1951	Chicago Bears	W 42–21	40,969
10	December 2, 1951	Chicago Cardinals	W 49–28	30,550
11	December 9, 1951	at Pittsburgh Steelers	W 28–0	24,229
12	December 16, 1951	at Philadelphia Eagles	W 24–9	16,263
