Rank	Name	Height m ( ft )	Floors	Year
1	1000 de La Gauchetière	205 (673)	51	1992
2	1250 René-Lévesque	199 (653)	47	1992
3	Tour de la Bourse	194 (637)	47	1964
4	Place Ville-Marie	188 (617)	47	1962
5	CIBC Tower	187 (614)	45	1962
N/A	Tour de Montréal	175 (574)	20	1987
6	1501 McGill College	158 (519)	36	1992
7	Complexe Desjardins South Tower	152 (499)	40	1976
8	KPMG Tower	146 (479)	34	1987
9	Marriott Château Champlain	139 (454)	36	1967
10	Le V / Courtyard Marriott Hotel	138 (453)	40	2014 (est.)
11	Telus Tower	136 (445)	34	1962
12	Bell Media Tower	134 (440)	34	1988
13	500 Place D'Armes	133 (435)	32	1968
14	Complexe Desjardins East Tower	130 (427)	32	1976
15=	Scotia Tower	128 (420)	29	1990
15=	National Bank Tower	128 (420)	28	1983
15=	700 de la Gauchetière	128 (420)	28	1983
15=	1000 Sherbrooke West	128 (420)	28	1974
19	Terminal Tower	125 (410)	30	1966
20	Altitude Montreal	124 (407)	33	2013
21=	Sun Life Building	122 (400)	26	1931
21=	Le Port Royal	122 (400)	33	1964
