Date	Opponent	Score	Loss	Record
May 1	Reds	7–2	Cruz (3–2)	15–13
May 2	@ Cubs	7–4	Chacón (4–1)	15–14
May 3	@ Cubs	6–4	Guthrie (0–2)	16–14
May 4	@ Cubs	5–4 (10)	Reed (2–1)	16–15
May 6	@ Braves	3–2	Jones (0–1)	16–16
May 8	@ Braves	12–6	Cruz (3–3)	16–17
May 8	@ Braves	5–2	Chacón (4–2)	16–18
May 9	@ Marlins	5–4	Speier (2–1)	16–19
May 10	@ Marlins	5–4	Tejera (0–1)	17–19
May 11	@ Marlins	7–2	Cook (1–3)	17–20
May 12	Mets	9–6	Young (0–1)	17–21
May 13	Mets	9–8	Cerda (0–1)	18–21
May 14	Mets	6–5	Stanton (2–3)	19–21
May 15	Expos	4–2	Tucker (0–1)	20–21
May 16	Expos	4–1	Cruz (3–4)	20–22
May 17	Expos	6–4 (10)	Jones (1–2)	20–23
May 18	Expos	4–0	Ohka (3–5)	21–23
May 20	@ Dodgers	3–1	Oliver (1–3)	21–24
May 21	@ Dodgers	3–2	Jennings (3–4)	21–25
May 22	@ Dodgers	4–3	Cook (1–4)	21–26
May 23	Giants	10–7	Moss (5–3)	22–26
May 24	Giants	5–1	Elarton (0–1)	22–27
May 25	Giants	5–1	Foppert (2–4)	23–27
May 26	Giants	12–7	Nathan (5–2)	24–27
May 27	Dodgers	7–3	Ishii (4–2)	25–27
May 28	Dodgers	6–0	Dreifort (4–4)	26–27
May 29	Dodgers	12–5	Pérez (4–3)	27–27
May 30	@ Giants	6–2	Oliver (2–4)	27–28
May 31	@ Giants	2–1	Jennings (3–5)	27–29
