No.	#	Episode title	Director	Writer(s)	U.S. original airdate	Prod. code
53	1	"Darkmount, NV"	Shaunt Nigoghossian	Marsha Griffin	March22,2013	301
54	2	"Scattered"	Vinton Heuck	Steven Melching	March29,2013	302
55	3	"Prey"	Todd Waterman	Marsha Griffin	April5,2013	303
56	4	"Rebellion"	Scooter Tidwell	Steven Melching	April12,2013	304
57	5	"Project Predacon"	Shaunt Nigoghossian	Duane Capizzi	May17,2013	305
58	6	"Chain of Command"	Vinton Heuck	Mairghread Scott	May24,2013	306
59	7	"Plus One"	Todd Waterman	Greg Weisman	May31,2013	307
60	8	"Thirst"	Scooter Tidwell	Marsha Griffin	June7,2013	308
61	9	"Evolution"	Shaunt Nighoghossian	Steven Melching	June28,2013	309
62	10	"Minus One"	Vinton Heuck	Michael Cassutt	July5,2013	310
63	11	"Persuasion"	Todd Waterman	Michael G. Stern	July12,2013	311
64	12	"Synthesis"	Scooter Tidwell	Marsha Griffin	July19,2013	312
