Heat	Lane	Name	Nationality	Time
5	4	Rebecca Soni	United States	2:22.17
6	4	Leisel Jones	Australia	2:23.81
6	5	Mirna Jukić	Austria	2:24.39
6	1	Sara Nordenstam	Norway	2:24.47
4	6	Rie Kaneto	Japan	2:24.62
5	5	Megumi Taneda	Japan	2:24.75
4	5	Annamay Pierse	Canada	2:25.01
4	4	Yuliya Yefimova	Russia	2:25.07
5	7	Suzaan van Biljon	South Africa	2:25.51
5	3	Sally Foster	Australia	2:25.54
6	3	Jung Seul-Ki	South Korea	2:25.95
6	6	Joline Höstman	Sweden	2:26.00
6	2	Qi Hui	China	2:26.16
5	2	Anne Poleska	Germany	2:26.74
4	8	Elise Matthysen	Belgium	2:27.04
4	1	Jeong Da-Rae	South Korea	2:27.28
3	7	Inna Kapishina	Belarus	2:27.34
4	3	Amanda Beard	United States	2:27.70
2	2	Siow Yi Ting	Malaysia	2:27.80
4	2	Olga Detenyuk	Russia	2:27.87
5	1	Kirsty Balfour	Great Britain	2:27.87
3	4	Adriana Marmolejo	Mexico	2:28.10
6	8	Yuliya Pidlisna	Ukraine	2:28.84
4	7	Mireia Belmonte García	Spain	2:29.46
2	4	Alia Atkinson	Jamaica	2:29.53
6	7	Luo Nan	China	2:29.67
3	1	Katalin Bor	Hungary	2:29.95
3	2	Sara El Bekri	Morocco	2:30.04
3	3	Diana Gomes	Portugal	2:30.18
5	8	Sophie de Ronchi	France	2:30.93
2	7	Marina Kuč	Montenegro	2:31.24
2	3	Dilara Buse Günaydin	Turkey	2:31.86
3	6	Nađa Higl	Serbia	2:32.78
2	6	Smiljana Marinović	Croatia	2:32.80
1	5	Raminta Dvariškytė	Lithuania	2:33.32
2	5	Nicolette Teo	Singapore	2:34.60
3	8	Agustina de Giovanni	Argentina	2:34.94
3	5	Angeliki Exarchou	Greece	2:36.83
1	3	Noora Laukkanen	Finland	2:38.97
1	4	Tatiane Sakemi	Brazil	2:39.13
5	6	Sarah Poewe	Germany	DNS
