Rank	Peak	Elevation (m)	Prominence (m)	Isolation (km)	Municipality	County
1	Galdhøpiggen	2469	2372	1570	Lom	Oppland
2	Jiehkkevárri	1833	1741	140	Lyngen , Tromsø	Troms
3	Snøhetta	2286	1675	83	Dovre	Oppland
4	Store Lenangstind	1625	1576	47	Lyngen	Troms
5	Gjegnen / Blånibba	1670	1460	47	Bremanger	Sogn og Fjordane
6	Hamperokken	1404	1396	18	Tromsø	Troms
7	Skårasalen	1542	1385	7	Ørsta	Møre og Romsdal
8	Oksskolten	1916	1384	185	Hemnes	Nordland
9	Botnafjellet	1572	1339	15	Gloppen	Sogn og Fjordane
10	Kvitegga	1717	1324	23	Stranda , Ørsta	Møre og Romsdal
11	Fresvikbreen	1660	1310	17	Vik	Sogn og Fjordane
12	Smørskredtindane	1630	1306	12	Stranda , Ørsta	Møre og Romsdal
13	Njunis	1717	1305	53	Målselv	Troms
14	Store Trolla	1850	1292	11	Sunndal	Møre og Romsdal
15	Langlitinden	1276	1276	26	Ibestad	Troms
16	Indre Russetind	1527	1268	9	Balsfjord	Troms
17	Møysalen	1262	1262	60	Hinnøya	Nordland
18	Stortind	1320	1242	14	Tromsø	Troms
19	Folgefonna	1660	1233	29	Kvinnherad , Odda	Hordaland
