Total tenure rank	Uninterrupted rank	Name	State represented	Dates of service	Total tenure time	Uninterrupted time
1	1	Robert Byrd	West Virginia	January 3, 1959 – June 28, 2010	51 years, 176 days	51 years, 176 days
2	2	Daniel Inouye	Hawaii	January 3, 1963 – December 17, 2012	49 years, 349 days	49 years, 349 days
4	3	Ted Kennedy	Massachusetts	November 7, 1962 – August 25, 2009	46 years, 292 days	46 years, 292 days
5	5	Carl Hayden	Arizona	March 4, 1927 – January 3, 1969	41 years, 305 days	41 years, 305 days
6	6	John C. Stennis	Mississippi	November 7, 1947 – January 3, 1989	41 years, 59 days	41 years, 59 days
7	7	Ted Stevens	Alaska	December 24, 1968 – January 3, 2009	40 years, 10 days	40 years, 10 days
8	8	Patrick Leahy	Vermont	Since January 3, 1975	39years, 29days	39years, 29days
9	9	Ernest Hollings	South Carolina	November 8, 1966 – January 3, 2005	38 years, 55 days	38 years, 55 days
10	10	Richard Russell, Jr.	Georgia	January 12, 1933 – January 21, 1971	38 years, 9 days	38 years, 9 days
11	11	Russell B. Long	Louisiana	December 31, 1948 – January 3, 1987	38 years, 3 days	38 years, 3 days
13	12	Orrin Hatch	Utah	Since January 3, 1977	37years, 29days	37years, 29days
15	13	Warren Magnuson	Washington	December 18, 1944 – January 3, 1981	36 years, 20 days	36 years, 20 days
16	14	Joe Biden	Delaware	January 3, 1973 – January 15, 2009	36 years, 12 days	36 years, 12 days
17	15	Claiborne Pell	Rhode Island	January 3, 1961 – January 3, 1997	36 years, 0 days	36 years, 0 days
18	16	Pete Domenici	New Mexico	January 3, 1973 – January 3, 2009	36 years, 0 days	36 years, 0 days
