Name	Area (in km²)	Population (March 1999 census)	Population (July 2005 estimate)	Density (2005) (in h. per km²)	Peak of population
Louvre	1.826	16,888	17,700	9,693	before 1861
Bourse	0.992	19,585	20,700	20,867	before 1861
Temple	1.171	34,248	35,100	29,974	before 1861
Hôtel-de-Ville	1.601	30,675	28,600	17,864	before 1861
Panthéon	2.541	58,849	60,600	23,849	1911
Luxembourg	2.154	44,919	45,200	20,984	1911
Palais-Bourbon	4.088	56,985	55,400	13,552	1926
Élysée	3.881	39,314	38,700	9,972	1891
Opéra	2.179	55,838	58,500	26,847	1901
Enclos-St-Laurent	2.892	89,612	88,800	30,705	1881
Popincourt	3.666	149,102	152,500	41,598	1911
Reuilly	16.324¹ 6.377²	136,591	138,300	8,472¹ 21,687²	1962
Gobelins	7.146	171,533	181,300	25,371	2005 5
Observatoire	5.621	132,844	134,700	23,964	1954
Vaugirard	8.502	225,362	232,400	27,335	1962
Passy	16.305³ 7.846 4	161,773	149,500	9,169³ 19,054 4	1962
Batignolles-Monceau	5.669	160,860	160,300	28,277	1954
Butte-Montmartre	6.005	184,586	188,700	31,424	1931
Buttes-Chaumont	6.786	172,730	187,200	27,586	2005 5
Ménilmontant	5.984	182,952	191,800	32,052	1936
