Rank	Mountain Pass	Elevation	Surface	Route
1	Independence Pass	12,103 feet 3689 m	asphalt	082
2	Loveland Pass	11,990 feet 3655 m	asphalt	006
3	Hoosier Pass	11,541 feet 3518 m	asphalt	009
4	Slumgullion Pass	11,361 feet 3463 m	asphalt	149
5	Fremont Pass	11,318 feet 3450 m	asphalt	091
6	Berthoud Pass	11,315 feet 3449 m	asphalt	040
7	Monarch Pass	11,312 feet 3448 m	asphalt	050
8	Juniper Pass	11,040 feet 3365 m	asphalt	103
9	Red Mountain Pass	11,018 feet 3358 m	asphalt	550
10	Molas Divide	10,910 feet 3325 m	asphalt	550
11	Spring Creek Pass	10,901 feet 3323 m	asphalt	149
12	Wolf Creek Pass	10,850 feet 3307 m	asphalt	160
13	Milner Pass	10,758 feet 3279 m	asphalt	034
14	Vail Pass	10,666 feet 3251 m	asphalt	070
15	Coal Bank Pass	10,640 feet 3243 m	asphalt	550
16	Tennessee Pass	10,424 feet 3177 m	asphalt	024
17	Cameron Pass	10,276 feet 3132 m	asphalt	014
18	La Manga Pass	10,230 feet 3118 m	asphalt	017
19	Lizard Head Pass	10,222 feet 3116 m	asphalt	145
20	North Pass	10,149 feet 3093 m	asphalt	114
21	Cumbres Pass	10,022 feet 3055 m	asphalt	017
22	Kenosha Pass	10,001 feet 3048 m	asphalt	285
23	Red Hill Pass	9,993 feet 3046 m	asphalt	285
24	Cucharas Pass	9,941 feet 3030 m	asphalt	012
25	Willow Creek Pass	9,621 feet 2932 m	asphalt	125
26	Gore Pass	9,527 feet 2904 m	asphalt	134
27	Wilkerson Pass	9,507 feet 2898 m	asphalt	024
28	Currant Creek Pass	9,482 feet 2890 m	asphalt	009
29	Rabbit Ears Pass	9,426 feet 2873 m	asphalt	040
30	North La Veta Pass	9,413 feet 2869 m	asphalt	160
31	Trout Creek Pass	9,346 feet 2849 m	asphalt	024.285
32	Ute Pass	9,165 feet 2793 m	asphalt	024
33	Wind River Pass	9,150 feet 2790 m	asphalt	007
34	Hardscrabble Pass	9,085 feet 2769 m	asphalt	096
35	Poncha Pass	9,010 feet 2746 m	asphalt	285
36	Dallas Divide	8,970 feet 2734 m	asphalt	062
37	Muddy Pass	8,772 feet 2674 m	asphalt	040
38	McClure Pass	8,755 feet 2669 m	asphalt	133
39	Douglas Pass	8,268 feet 2520 m	asphalt	139
40	Cerro Summit	7,958 feet 2423 m	asphalt	050
41	Raton Pass	7,834 feet 2388 m	asphalt	025
42	Yellowjacket Pass	7,783 feet 2372 m	asphalt	160
43	Monument Hill	7,343 feet 2238 m	asphalt	025
44	Unaweep Divide	7,048 feet 2148 m	asphalt	141
