Mountain	Height (m)	Height (ft)	Range	Prominence (m)	Parent mountain	First ascent
Mount Everest / Sagarmatha/ Chomolungma	8,848	29,029	Mahalangur Himalaya	8,848	none	1953
K2 /Qogir/ Godwin Austen	8,611	28,251	Baltoro Karakoram	4,017	Mount Everest	1954
Kangchenjunga	8,586	28,169	Kangchenjunga Himalaya	3,922	Mount Everest	1955
Lhotse	8,516	27,940	Mahalangur Himalaya	610	Mount Everest	1956
Makalu	8,485	27,838	Mahalangur Himalaya	2,386	Mount Everest	1955
Cho Oyu	8,188	26,864	Mahalangur Himalaya	2,340	Mount Everest	1954
Dhaulagiri I	8,167	26,795	Dhaulagiri Himalaya	3,357	K2	1960
Manaslu	8,163	26,781	Manaslu Himalaya	3,092	Cho Oyu	1956
Nanga Parbat	8,126	26,660	Nanga Parbat Himalaya	4,608	Dhaulagiri	1953
Annapurna I	8,091	26,545	Annapurna Himalaya	2,984	Cho Oyu	1950
Gasherbrum I / Hidden Peak/K5	8,080	26,509	Baltoro Karakoram	2,155	K2	1958
Broad Peak /K3	8,051	26,414	Baltoro Karakoram	1,701	Gasherbrum I	1957
Gasherbrum II /K4	8,034	26,362	Baltoro Karakoram	1,523	Gasherbrum I	1956
Shishapangma	8,027	26,335	Jugal Himalaya	2,897	Cho Oyu	1964
Gyachung Kang	7,952	26,089	Mahalangur Himalaya	700	Cho Oyu	1964
Gasherbrum III	7,946	26,070	Baltoro Karakoram	355	Gasherbrum II	1975
Annapurna II	7,937	26,040	Annapurna Himalaya	2,437	Annapurna I	1960
Gasherbrum IV	7,932	26,024	Baltoro Karakoram	715	Gasherbrum III	1958
Himalchuli	7,893	25,896	Manaslu Himalaya	1,633	Manaslu	1960
Distaghil Sar	7,884	25,866	Hispar Karakoram	2,525	K2	1960
Ngadi Chuli	7,871	25,823	Manaslu Himalaya	1,020	Manaslu	1970
Nuptse	7,864	25,801	Mahalangur Himalaya	319	Lhotse	1961
Khunyang Chhish	7,823	25,666	Hispar Karakoram	1,765	Distaghil Sar	1971
Masherbrum /K1	7,821	25,659	Masherbrum Karakoram	2,457	Gasherbrum I	1960
Nanda Devi	7,816	25,643	Garhwal Himalaya	3,139	Dhaulagiri	1936
Chomo Lonzo	7,804	25,604	Mahalangur Himalaya	590	Makalu	1954
Batura Sar	7,795	25,574	Batura Karakoram	3,118	Distaghil Sar	1976
Kanjut Sar	7,790	25,558	Hispar Karakoram	1,690	Khunyang Chhish	1959
Rakaposhi	7,788	25,551	Rakaposhi-Haramosh Karakoram	2,818	Khunyang Chhish	1958
Namcha Barwa	7,782	25,531	Assam Himalaya	4,106	Kangchenjunga	1992
