Urban area (locality)	Municipality	Population	Land area (hectares)	Density (inh./km²)	Code
Abbekås	Skurup Municipality	729	90.60	804.64	3300
Abborrberget	Strängnäs Municipality	2141	137.56	1556.41	699
Agunnaryd	Ljungby Municipality	220	40.43	544.15	1802
Alberga	Eskilstuna Municipality	395	41.93	942.05	700
Alby	Ånge Municipality	367	123.60	296.93	7400
Alfta	Ovanåker Municipality	2155	343.48	627.40	7000
Algutsrum	Mörbylånga Municipality	532	57.27	928.93	2092
Alingsås	Alingsås Municipality	24482	1235.23	1981.98	4700
Allerum	Helsingborg Municipality	716	77.94	918.66	3304
Almunge	Uppsala Municipality	813	84.54	961.67	500
Alsike	Knivsta Municipality	2681	238.26	1125.24	504
Alstad	Trelleborg Municipality	237	23.15	1023.76	3308
Alster	Karlstad Municipality	586	83.88	698.62	5596
Alsterbro	Nybro Municipality	422	87.95	479.82	2100
Alstermo	Uppvidinge Municipality	829	156.08	531.14	1804
Alunda	Östhammar Municipality	2317	228.34	1014.71	508
Alvesta	Alvesta Municipality	8017	610.32	1313.57	1808
Alvhem	Ale Municipality	202	20.54	983.45	4704
Alvik	Leksand Municipality	227	88.02	257.90	6402
Alvik	Luleå Municipality	777	166.56	466.50	8504
Ambjörby	Torsby Municipality	227	148.11	153.26	5600
Ambjörnarp	Tranemo Municipality	270	85.63	315.31	4708
Ammenäs	Uddevalla Municipality	544	150.11	362.40	4296
Andalen	Gothenburg Municipality	2188	158.31	1382.10	4550
Anderslöv	Trelleborg Municipality	1808	102.69	1760.64	3312
Anderstorp	Gislaved Municipality	4965	561.34	884.49	1400
Aneby	Aneby Municipality	3367	336.75	999.85	1404
Angelstad	Ljungby Municipality	271	48.18	562.47	1812
Angered	Gothenburg Municipality	950	159.54	595.46	4294
Ankarsrum	Västervik Municipality	1254	165.97	755.56	2104
Ankarsvik	Sundsvall Municipality	944	169.32	557.52	7408
Anneberg	Kungsbacka Municipality	1469	112.63	1304.27	3900
Anneberg	Nässjö Municipality	833	97.84	851.39	1408
Annelund	Herrljunga Municipality	519	76.77	676.05	4712
Annelöv	Landskrona Municipality	380	32.79	1158.89	3316
Antnäs	Luleå Municipality	822	89.76	915.78	8508
Aplared	Borås Municipality	465	55.45	838.59	4716
Arboga	Arboga Municipality	10330	949.77	1087.63	6200
Arbrå	Bollnäs Municipality	2215	394.22	561.87	7004
Ardala	Skara Municipality	725	52.76	1374.15	5200
Arentorp	Vara Municipality	472	57.52	820.58	5204
Arild	Höganäs Municipality	522	145.47	358.84	3320
Arjeplog	Arjeplog Municipality	1977	229.18	862.64	8512
Arkelstorp	Kristianstad Municipality	768	107.63	713.56	2800
Arnäsvall	Örnsköldsvik Municipality	341	83.43	408.73	7412
Arnö	Nyköping Municipality	3871	210.05	1842.89	702
Arontorp	Mörbylånga Municipality	233	37.03	629.22	2106
Arvidsjaur	Arvidsjaur Municipality	4635	466.90	992.72	8516
Arvika	Arvika Municipality	14244	1061.81	1341.48	5604
Aröd och Timmervik	Stenungsund Municipality	637	147.78	431.05	5070
Askeby	Linköping Municipality	518	49.17	1053.49	1004
Askersby	Örebro Municipality	243	52.95	458.92	5900
Askersund	Askersund Municipality	3887	278.02	1398.10	5904
Asmundtorp	Landskrona Municipality	1562	100.15	1559.66	3328
Asperö	Gothenburg Municipality	402	32.69	1229.73	4298
Aspås	Krokom Municipality	375	62.09	603.96	7800
Avan	Luleå Municipality	200	64.55	309.84	8524
Avesta	Avesta Municipality	14506	1391.02	1042.83	6404
Axvall	Skara Municipality	1186	110.30	1075.25	5208
Backa	Kungsbacka Municipality	1547	141.02	1097.01	3904
Backaryd	Ronneby Municipality	365	66.94	545.26	2600
Backberg	Sandviken Municipality	244	85.78	284.45	7012
Backe	Strömsund Municipality	599	126.21	474.61	7804
Baggetorp	Vingåker Municipality Katrineholm Municipality	502	84.40	594.79	704
Ballingslöv	Hässleholm Municipality	310	58.20	532.65	2804
Balsby	Kristianstad Municipality	430	39.11	1099.46	2808
Bammarboda	Österåker Municipality	249	79.19	314.43	102
Bankekind	Linköping Municipality	405	29.77	1360.43	1008
Bankeryd	Jönköping Municipality	8107	539.40	1502.97	1412
Bara	Svedala Municipality	3444	163.93	2100.90	3332
Barkarö	Västerås Municipality	1163	85.15	1365.83	6204
Barsebäck	Kävlinge Municipality	524	44.21	1185.25	3336
Barsebäckshamn	Kävlinge Municipality	438	38.04	1151.42	3337
Bastuträsk	Norsjö Municipality	392	109.33	358.55	8112
Beddingestrand	Trelleborg Municipality	678	100.95	671.62	3338
Benareby	Härryda Municipality	384	65.52	586.08	4290
Bengtsfors	Bengtsfors Municipality	3080	326.90	942.18	4720
Bengtsheden	Falun Municipality	530	150.49	352.18	6412
Bensbyn	Luleå Municipality	448	49.90	897.80	8528
Berg	Gävle Municipality	213	50.45	422.20	7014
Berg	Linköping Municipality	1278	109.36	1168.62	1016
Berg	Åtvidaberg Municipality	311	53.56	580.66	1012
Berga	Högsby Municipality	724	154.10	469.82	2108
Bergagård	Falkenberg Municipality	250	30.91	808.80	3908
Bergby	Gävle Municipality	816	188.80	432.20	7016
Bergeforsen	Timrå Municipality	1563	198.26	788.36	7416
Berghem	Mark Municipality	360	79.13	454.95	4724
Bergkvara	Torsås Municipality	940	152.00	618.42	2112
Bergnäset	Luleå Municipality	3648	309.40	1179.06	8532
Bergsbyn	Skellefteå Municipality	1780	137.75	1292.20	8116
Bergshammar	Nyköping Municipality	790	61.73	1279.77	708
Bergshamra	Norrtälje Municipality	749	159.76	468.83	100
Bergsjö	Nordanstig Municipality	1266	165.27	766.02	7020
Bergströmshusen	Staffanstorp Municipality	209	13.22	1580.94	2814
Bergsviken	Piteå Municipality	2283	264.64	862.68	8536
Bergvik	Söderhamn Municipality	834	200.40	416.17	7024
Bestorp	Linköping Municipality	475	53.35	890.35	1020
Bettna	Flen Municipality	412	99.26	415.07	712
Bie	Katrineholm Municipality	528	61.52	858.26	716
Billdal	Kungsbacka Municipality Gothenburg Municipality	10289	1013.85	1014.84	4300
Billeberga	Svalöv Municipality	987	106.13	929.99	3340
Billesholm	Bjuv Municipality	2910	290.72	1000.96	3344
Billinge	Eslöv Municipality	415	58.99	703.51	3348
Billingsfors	Bengtsfors Municipality	1134	231.51	489.83	4728
Billsta	Örnsköldsvik Municipality	361	107.10	337.07	7420
Bjurholm	Bjurholm Municipality	968	171.62	564.04	8120
Bjursås	Falun Municipality	1839	324.78	566.23	6424
Bjuv	Bjuv Municipality	6832	544.23	1255.35	3352
Bjärnum	Hässleholm Municipality	2674	363.80	735.02	2816
Bjärred	Lomma Municipality	9542	479.10	1991.65	3356
Bjärsjölagård	Sjöbo Municipality	324	52.22	620.45	3360
Bjästa	Örnsköldsvik Municipality	1808	204.90	882.38	7424
Björbo	Gagnef Municipality	697	183.77	379.28	6428
Björboholm	Lerum Municipality	963	180.93	532.25	4732
Björke	Gävle Municipality	349	59.93	582.35	7028
Björketorp	Mark Municipality	467	60.41	773.05	4736
Björklinge	Uppsala Municipality	3269	270.45	1208.73	512
Björkvik	Katrineholm Municipality	492	95.75	513.84	720
Björkviken	Borgholm Municipality	208	10.96	1897.81	2114
Björkö	Öckerö Municipality	1427	90.84	1570.89	4304
Björköby	Vetlanda Municipality	273	67.40	405.04	1420
Björlanda	Gothenburg Municipality	608	88.73	685.22	4302
Björna	Örnsköldsvik Municipality	413	67.70	610.04	7428
Björneborg	Kristinehamn Municipality	1099	157.00	700.00	5612
Björnlunda	Gnesta Municipality	827	85.95	962.19	724
Björnänge	Åre Municipality	254	39.95	635.79	7810
Björnö	Växjö Municipality	215	16.42	1309.38	1818
Björnömalmen och Klacknäset	Värmdö Municipality	624	125.76	496.18	106
Björsäter	Åtvidaberg Municipality	443	62.53	708.46	1024
Blackstalund	Uppsala Municipality	210	64.61	325.03	650
Bleket	Tjörn Municipality	240	41.00	585.37	4308
Blentarp	Sjöbo Municipality	1216	121.22	1003.13	3364
Blidsberg	Ulricehamn Municipality	508	86.77	585.46	4740
Blikstorp	Hjo Municipality	222	45.10	492.24	5212
Blombacka	Karlstad Municipality	217	99.85	217.33	5616
