District	Name	Party	Hometown	First Elected	Towns Represented
Lt-Gov	Jari Askins	Dem	Duncan	2006	President of Senate
1	Charles Wyrick	Dem	Fairland	2004	Fairland, Grove , Jay , Miami
2	Sean Burrage	Dem	Claremore	2006	Claremore, Pryor
3	Jim Wilson	Dem	Tahlequah	2004	Stillwell , Tahlequah
4	Kenneth Corn	Dem	Howe	2002	Howe, Poteau , Sallisaw
5	Jeff Rabon	Dem	Atoka	1996	Atoka, Hugo
6	Jay Paul Gumm	Dem	Durant	2002	Durant
7	Richard Lerblance	Dem	Hartshorne	2003	Hartshorne, McAlester, Wilburton
8	Roger Ballenger	Dem	Okmulgee	2006	Henryetta, Okmulgee
9	Earl Garrison	Dem	Muskogee	2004	Muskogee, Ft. Gibson
10	Joe Sweeden	Dem	Pawhuska	2006	Fairfax, Pawhuska
11	Judy Eason McIntyre	Dem	Tulsa	2004	Tulsa
12	Brian Bingman	Rep	Sapulpa	2006	Sapulpa, Bristow
13	Susan Paddack	Dem	Ada	2004	Ada
14	Johnnie Crutchfield	Dem	Ardmore	1998	Ardmore
15	Jonathan Nichols	Rep	Norman	2000	Norman
16	John Sparks	Dem	Norman	2006	Norman, Purcell
17	Charlie Laster	Dem	Shawnee	2003	Shawnee
18	Mary Easley	Dem	Grand Lake Towne	2004	Tulsa, Wagoner
19	Patrick Anderson	Rep	Enid	2004	Enid
20	David Myers	Rep	Ponca City	2002	Ponca City
21	Mike Morgan	Dem	Stillwater	1996	Stillwater
22	Mike Johnson	Rep	Kingfisher	1998	Kingfisher
23	Ron Justice	Rep	Chickasha	2004	Chickasha
24	Anthony Sykes	Rep	Moore	2006	Duncan, Moore
25	Mike Mazzei	Rep	Tulsa	2004	Broken Arrow, Tulsa
26	Tom Ivester	Dem	Sayre	2006	Elk City, Sayre, Mangum
27	Owen Laughlin	Rep	Woodward	1996	Guymon, Woodward
28	Harry Coates	Rep	Seminole	2002	Seminole
29	John Ford	Rep	Bartlesville	2004	Bartlesville
30	Glenn Coffee	Rep	Oklahoma City	1998	Oklahoma City
31	Don Barrington	Rep	Lawton	2004	Lawton
32	Randy Bass	Dem	Lawton	2004	Lawton
33	Tom Adelson	Dem	Tulsa	2004	Tulsa
34	Randy Brogdon	Rep	Owasso	2002	Owasso, Tulsa
35	James Williamson	Rep	Tulsa	1996	Tulsa
36	Bill Brown	Rep	Broken Arrow	2006	Broken Arrow, Tulsa
37	Nancy Riley	Dem	Tulsa	2000	Bixby, Sand Springs, Tulsa
38	Mike Schulz	Rep	Altus	2006	Altus, Weatherford
39	Brian Crain	Rep	Tulsa	2004	Tulsa
40	Cliff Branan	Rep	Oklahoma City	2002	Oklahoma City
41	Clark Jolley	Rep	Edmond	2004	Edmond
42	Cliff Aldridge	Rep	Midwest City	2002	Midwest City
43	Jim Reynolds	Rep	Oklahoma City	2000	Del City, Oklahoma City
44	Debbe Leftwich	Dem	Oklahoma City	2003	Oklahoma City
45	Kathleen Wilcoxson	Rep	Oklahoma City	1996	Moore, Oklahoma City
46	Andrew Rice	Dem	Oklahoma City	2006	Oklahoma City
47	Todd Lamb	Rep	Edmond	2004	Edmond, Oklahoma City
48	Constance N. Johnson	Dem	Oklahoma City	2006	Oklahoma City
