Edition	Zone	Round	Against	Surface	Partner	Opponents	Outcome	Result
2005	Fed Cup Europe/Africa Group I C	Round Robin	Serbia and Montenegro	Clay	Karina-Ildor Jacobsgaard	Jelena Janković Nataša Zorić	Loss	6–2, 6–2
2005	Fed Cup Europe/Africa Group I C	Round Robin	Great Britain	Clay	Karina-Ildor Jacobsgaard	Katie O'Brien Jane O'Donoghue	Win	6–3, 7–6(5)
2005	Fed Cup Europe/Africa Group I C	Round Robin	Slovenia	Clay	Gluay Kampookaew	Andreja Klepač Tina Križan	Win	1–2, retired
2005	Europe/Africa Group I	Playoff Semifinal	Greece	Clay	Caroline Wozniacki	Asimina Kaplani Anna Koumantou	Win	7–6(5), 6–4
2006	Europe/Africa Group I B	Round Robin	South Africa	Clay	Eva Dyrberg	Lizaan Du Plessis Alicia Pillay	Win	6–2, 6–2
2006	Europe/Africa Group I B	Round Robin	Slovenia	Clay	Eva Dyrberg	Diana Nakič Tina Obrež	Win	3–1
2006	Europe/Africa Group I B	Round Robin	Serbia and Montenegro	Clay	Karina-Ildor Jacobsgaard	Ana Ivanovic Danica Krstajić	Loss	6–1, 6–3
2007	Europe/Africa Group I A	Round Robin	Switzerland	Clay	Eva Dyrberg	Timea Bacsinszky Emmanuelle Gagliardi	Loss	7–5, 6–1
2007	Europe/Africa Group I A	Playoff Semifinal	Hungary	Clay	Eva Dyrberg	Kyra Nagy Ágnes Szávay	Loss	6–4, 5–7, 6–0
2009	Europe/Africa Group I C	Round Robin	Austria	Hard	Eva Dyrberg	Melanie Klaffner Sandra Klemenschits	Loss	6–2, 6–3
