Pick	Player	Position	Nationality	NHL team
131	Mike Gaffney	Defence	United States	Ottawa Senators
132	Bates Battaglia	Left Wing	United States	Mighty Ducks of Anaheim
133	Daniel Alfredsson	Forward	Sweden	Ottawa Senators
134	Ryan Smart	Centre	United States	New Jersey Devils
135	Yuri Litvinov	Centre	Russia	N.Y. Rangers
136	Terry Marchant	Centre	United States	Edmonton Oilers
137	Dan Juden	Centre	United States	Tampa Bay Lightning
138	Bryce Salvador	Defence	Canada	Tampa Bay Lightning
139	Nicholas Windsor	Defence	Canada	Quebec Nordiques
140	Alexander Selivanov	Left Wing	Russia	Philadelphia Flyers
141	Alexander Korolyuk	Right Wing	Russia	San Jose Sharks
142	Jason Stewart	Centre	United States	N.Y. Islanders
143	Steve Vezina	Goaltender	Canada	Winnipeg Jets
144	Jim Ensom	Left Wing	Canada	Chicago Blackhawks
145	Dmitry Mekeshkin	Defence	Russia	Washington Capitals
146	Chris Kibermanis	Right Wing	Canada	Winnipeg Jets
147	Cal Benazic	Defence	Canada	Buffalo Sabres
148	Joel Irving	Winger	Canada	Montreal Canadiens
149	Patrik Haltia	Goaltender	Sweden	Calgary Flames
150	Evgeny Petrochinin	Defence	Russia	Dallas Stars
151	Andre Roy	Left Wing	United States	Boston Bruins
152	Kam White	Defence	United States	Toronto Maple Leafs
153	Pavel Agarkov	Right Wing	Russia	Detroit Red Wings
154	Valentin Morozov	Centre	Russia	Pittsburgh Penguins
155	Luciano Caravaggio	Goaltender	Canada	New Jersey Devils
156	David Brosseau	Right Wing	Canada	N.Y. Rangers
Reference:	Reference:	Reference:	Reference:	Reference:
