Res.	Record	Opponent	Method	Event	Round	Location
Loss	11-9	Branden Lee Hinkle	TKO (punches)	DFL 1 - The Big Bang	1	Atlantic City, New Jersey , United States
Loss	11-8	Ray Sefo	TKO (injury)	Strikeforce Challengers: Kennedy vs. Cummings	2	Bixby, Oklahoma , United States
Win	11-7	Patrick Smith	Decision (unanimous)	American Steel Cagefighting	3	Salem, New Hampshire , United States
Loss	10-7	Joel Wyatt	Decision (split)	RIE - Battle at the Burg 1	3	Harrisonburg, Virginia , United States
Loss	10-6	Marcos Santa Cruz	Decision (unanimous)	FFP- Untamed 22	3	Plymouth, Massachusetts , United States
Win	10-5	Carlos Moreno	Submission (strikes)	BCX 3 - Battle Cage Xtreme 3	3	Atlantic City, New Jersey , United States
Win	9-5	Chris Herring	Submission (strikes)	Wild Bill's - Fight Night 6	1	Duluth, Georgia , United States
Loss	8-5	Josh Diekman	TKO (injury)	FFP - Untamed 3	1	Brockton, Massachusetts , United States
Loss	8-4	Gabriel Gonzaga	KO (superman punch)	UFC 56	3	Las Vegas, Nevada , United States
Loss	8-3	Paul Buentello	Submission (neck crank)	UFC 53	1	Atlantic City, New Jersey , United States
Win	8-2	John Dixon	Decision (unanimous)	FFC 13 - Freestyle Fighting Championships 13	3	Biloxi, Mississippi , United States
Win	7-2	Eric Loveless	Decision	FFC 11 - Explosion	N/A	Biloxi, Mississippi , United States
Win	6-2	Kerry Schall	Submission (rear naked choke)	XFO 2 - New Blood	1	Fontana, Wisconsin , United States
Win	5-2	Chris Seifert	TKO	FFC 8 - Freestyle Fighting Championships 8	2	Biloxi, Mississippi , United States
Win	4-2	Jayme Mckinney	Submission (armbar)	XFC 1 - Xtreme Fight Club 1	1	Morgan City, Louisiana , United States
Win	3-2	Sam Holloway	TKO	ICB - International Cage Brawl	1	Birmingham, Alabama , United States
Win	2-2	Sean Sallee	Decision (majority)	Tennessee Shooto - Conquest	2	Clarksville, Tennessee , United States
Loss	1-2	Travis Wiuff	Decision	UW - Ultimate Wrestling	3	Minneapolis, Minnesota , United States
Loss	1-1	Wesley Correira	KO (punches)	SB 24 - Return of the Heavyweights 1	1	Honolulu , United States
Win	1-0	Kelly Williams	TKO	BB 9 - Fights, Bikes, & Babes	1	Gainesville, Georgia , United States
