Outcome	Date	Tournament	Surface	Opponent	Score
Runner Up	17 June 2007	Jakarta , Indonesia	Hard	Nungnadda Wannasuk	3–6, 6–4, 6–3
Runner Up	28 July 2007	Bangkok , Thailand	Hard	Lu Jiaxiang	6–2, 2–6, 7–6(5)
Winner	4 May 2008	Balikpapan , Indonesia	Hard	Isha Lakhani	6–3, 6–2
Winner	3 August 2008	Chiang Mai , Thailand	Hard	Nungnadda Wannasuk	6–2, 6–3
Runner Up	22 March 2009	Hamilton , New Zealand	Hard	Ayu Fani Damayanti	6–4, 4–6, 6–3
Runner Up	27 July 2010	Saint Joseph , United States	Hard	Gabriela Paz	6–1, 6–4
Winner	5 September 2010	Tsukuba , Japan	Hard	Shiho Akita	6–4, 6–1
Runner Up	12 September 2010	Cairns , Australia	Hard	Ana Clara Duarte	6–3, 3–6, 6–2
Winner	3 December 2011	Dubai , United Arab Emirates	Hard	Kristina Mladenovic	7–5, 6–4
Runner Up	19 September 2012	Phuket , Thailand	Hard	Dinah Pfizenmaier	6–2, 6–4
Runner Up	30 April 2012	Gifu , Japan	Hard	Kimiko Date-Krumm	6–1, 5–7, 6–3
