Rider	Manufacturer	Laps	Time/Retired	Grid
Valentino Rossi	Honda	21	34:22.335	1
Tohru Ukawa	Honda	21	+0.217	4
Max Biaggi	Yamaha	21	+0.604	3
Norifumi Abe	Yamaha	21	+1.701	11
Kenny Roberts, Jr.	Suzuki	21	+8.464	9
Nobuatsu Aoki	Proton KR	21	+10.212	10
Loris Capirossi	Honda	21	+12.437	7
Alex Barros	Honda	21	+15.231	15
Régis Laconi	Aprilia	21	+17.155	14
Jeremy McWilliams	Proton KR	21	+21.847	6
John Hopkins	Yamaha	21	+25.121	19
Sete Gibernau	Suzuki	21	+25.919	16
Shinya Nakano	Yamaha	21	+26.227	13
Jean-Michel Bayle	Yamaha	21	+27.011	18
Jurgen vd Goorbergh	Honda	21	+30.342	17
José Luis Cardoso	Yamaha	21	+36.574	20
Daijiro Kato	Honda	11	Accident	5
Olivier Jacque	Yamaha	10	Retirement	12
Tetsuya Harada	Honda	10	Retirement	8
Carlos Checa	Yamaha	8	Accident	2
