Rank	Nation	Gold	Silver	Bronze	Total
1	South Korea	4	4	4	12
2	China	2	0	1	3
2	Spain	2	0	1	3
4	Chinese Taipei	1	1	2	4
5	Croatia	1	1	1	3
5	Mexico	1	1	1	3
7	Turkey	1	1	0	2
8	United States	1	0	3	4
9	Canada	1	0	1	2
9	Cuba	1	0	1	2
11	Mali	1	0	0	1
12	Thailand	0	3	1	4
13	Iran	0	2	1	3
14	Afghanistan	0	1	0	1
14	Azerbaijan	0	1	0	1
14	France	0	1	0	1
17	Kazakhstan	0	0	3	3
17	Netherlands	0	0	3	3
19	Brazil	0	0	2	2
20	Dominican Republic	0	0	1	1
20	Egypt	0	0	1	1
20	Germany	0	0	1	1
20	Hungary	0	0	1	1
20	Italy	0	0	1	1
20	Morocco	0	0	1	1
20	Norway	0	0	1	1
Total	Total	16	16	32	64
