District	Incumbent	Party	First elected	Result	Candidates
Ohio 2	Bill Gradison	Republican	1974	Re-elected	Bill Gradison (R) 68.6% Thomas J. Porter (D) 31.4%
Ohio 3	Tony P. Hall	Democratic	1978	Re-elected	Tony P. Hall (D) Unopposed
Ohio 4	Mike Oxley	Republican	1972	Re-elected	Mike Oxley (R) 77.5% William O. Sutton (D) 22.5%
Ohio 5	Del Latta	Republican	1958	Re-elected	Del Latta (R) 62.7% James R. Sherck (D) 37.3%
Ohio 6	Bob McEwen	Republican	1980	Re-elected	Bob McEwen (R) 74.0% Bob Smith (D) 26.0%
Ohio 8	Tom Kindness	Republican	1974	Re-elected	Tom Kindness (R) 76.9% John T. Francis (D) 23.1%
Ohio 11	Dennis E. Eckart	Democratic	1980	Re-elected	Dennis E. Eckart (D) 66.8% Dean Beagle (R) 33.2%
Ohio 12	John Kasich	Republican	1982	Re-elected	John Kasich (R) 69.5% Richard S. Sloan (D) 30.5%
Ohio 15	Chalmers P. Wylie	Republican	1966	Re-elected	Chalmers P. Wylie (R) 71.6% Duane Jager (D) 28.4%
Ohio 16	Ralph Regula	Republican	1972	Re-elected	Ralph Regula (R) 72.4% James Gwin (D) 27.6%
