Gersdorf	Gershausen	Heddersdorf	Kemmerode	Kirchheim	Reckerode ****	Reimboldsh.	Rotterterode	Willingshain
Households	Households	Households	Households	Households	Households	Households	Households	Households
29	23	19	14	75	35	5	6	33
39	19	19	15	81	25	6	12	52
Inhabitants	Inhabitants	Inhabitants	Inhabitants	Inhabitants	Inhabitants	Inhabitants	Inhabitants	Inhabitants
211	166	192	105	734	217	92	132	329
234	164	168	92	733	113	93	134	361
214	192	170	93	730	245	101	157	358
204	192	172	100	759	229	95	171	353
174	184	165	91	694	267	90	149	335
179	190	157	106	686	246	106	145	247
188	182	151	89	616	219	78	140	273
186	177	139	81	582	219	67	144	268
165	163	141	89	547	220	79	132	259
181	169	150	77	548	223	65	123	242
208	197	188	79	549	222	70	117	249
194	187	197	82	569	222	73	120	268
194	190	192	101	604	232	70	114	273
195	184	205	74	705	204	80	99	249
351	288	294	136	1,091	309	120	120	376
304	287	292	133	1,126	338	115	144	353
259	226	235	100	1,018	245	87	117	296
224	199	226	98	1,085	230	66	87	276
211	223	203	86	1,445	207	71	82	243
191	227	224	76	1,544	224	75	84	243
186	293	229	72	1,864	209	104	96	267
161	332	217	65	1,920	164	77	81	253
