Outcome	Date	Surface	Partner	Opponents in final	Score in final
Winner	10 November 2002	Hard	Kelly Liggan	Lina Krasnoroutskaya Tatiana Panova	7–5, 7–6 (9–7)
Runner-up	18 July 2006	Hard	Lucie Hradecká	Janette Husárová Michaëlla Krajicek	6–4, 4–6, 4–6
Winner	24 September 2006	Hard	Lucie Hradecká	Eva Birnerová Émilie Loit	w/o
Winner	29 July 2007	Clay	Lucie Hradecká	Ágnes Szávay Vladimíra Uhlířová	6–3, 7–5
Winner	23 September 2007	Hard	Lucie Hradecká	Andreja Klepač Elena Likhovtseva	5–7, 6–4, [10–7]
Runner-up	4 November 2007	Hard	Stéphanie Dubois	Christina Fusano Raquel Kops-Jones	3–6, 6–7 (6–8)
Winner	1 August 2009	Hard	Lucie Hradecká	Julia Görges Patty Schnyder	2–6, 6–3, [12–10]
Runner-up	25 October 2009	Hard	Vladimíra Uhlířová	Iveta Benešová Barbora Záhlavová-Strýcová	6–1, 0–6, [7–10]
Runner-up	10 July 2010	Clay	Barbora Záhlavová-Strýcová	Gisela Dulko Flavia Pennetta	6–7 (0–7) , 0–6
Winner	17 October 2010	Hard (i)	Barbora Záhlavová-Strýcová	Květa Peschke Katarina Srebotnik	7–5, 7–6 (8–6)
Winner	24 April 2011	Clay	Andrea Hlaváčková	Nina Bratchikova Sandra Klemenschits	6–3, 6–4
Winner	14 July 2012	Clay	Barbora Záhlavová-Strýcová	Darija Jurak Katalin Marosi	7–6 (7–5) , 6–4
