Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 6, 1992	Cincinnati Bengals	L 3-21	Kingdome	0-1	57,350
2	September 13, 1992	at Kansas City Chiefs	L 7-26	Arrowhead Stadium	0-2	75,125
3	September 20, 1992	at New England Patriots	W 10-6	Foxboro Stadium	1-2	42,327
4	September 27, 1992	Miami Dolphins	L 17-19	Kingdome	1-3	59,374
5	October 4, 1992	at San Diego Chargers	L 6-17	Jack Murphy Stadium	1-4	36,783
6	October 11, 1992	at Dallas Cowboys	L 0-27	Texas Stadium	1-5	62,311
7	October 18, 1992	Los Angeles Raiders	L 0-19	Kingdome	1-6	56,904
8	October 25, 1992	at New York Giants	L 10-23	Giants Stadium	1-7	67,399
9	Bye	Bye	Bye	Bye	Bye	Bye
10	November 8, 1992	Washington Redskins	L 3-16	Kingdome	1-8	53,616
11	November 15, 1992	at Los Angeles Raiders	L 3-20	Los Angeles Memorial Coliseum	1-9	46,862
12	November 22, 1992	Kansas City Chiefs	L 14-24	Kingdome	1-10	49,867
13	November 30, 1992	Denver Broncos	W 16-13 OT	Kingdome	2-10	51,612
14	December 6, 1992	at Pittsburgh Steelers	L 14-20	Three Rivers Stadium	2-11	47,015
15	December 13, 1992	Philadelphia Eagles	L 17-20 OT	Kingdome	2-12	47,492
16	December 20, 1992	at Denver Broncos	L 6-10	Mile High Stadium	2-13	72,570
17	December 27, 1992	San Diego Chargers	L 14-31	Kingdome	2-14	49,324
