Model	engine code(s)	engine type	max power@rpm	max torque@rpm	years
s Petrol engine	s Petrol engine	s Petrol engine	s Petrol engine	s Petrol engine	s Petrol engine
1.4	BCA	cc (L; cu in) I4 DOHC 16V	PS (kW; hp) @5000	N·m (lb·ft) @3800	2001–
1.6	AWH	cc (L; cu in) I4 SOHC 8V	PS (kW; hp) @5600	N·m (lb·ft) @3800	1999–2000
1.6	AYD / BFS	cc (L; cu in) I4 SOHC 8V	PS (kW; hp) @5600	N·m (lb·ft) @3800	2006– 2009
1.8 T	AGU	cc (L; cu in) I4 DOHC 20V turbo	PS (kW; hp) @5700	N·m (lb·ft) @1750-4600	1998–2000
1.8 T	APH /AVC /AWC /AWU /AWV /BKF	cc (L; cu in) I4 DOHC 20V turbo	PS (kW; hp) @5800	N·m (lb·ft) @2000-4200	1999–2002
1.8 T	AUQ	cc (L; cu in) I4 DOHC 20V turbo	PS (kW; hp)	N·m (lb·ft)	2001–2002
1.8 T	AWP	cc (L; cu in) I4 DOHC 20V turbo	PS (kW; hp) @5500	N·m (lb·ft) @1950-5000	2002–2004
2.0	AEG	cc (L; cu in) I4 SOHC 8V	PS (kW; hp) @5400	N·m (lb·ft) @2800	1998–2001
2.0	APK / AQY	cc (L; cu in) I4 SOHC 8V	PS (kW; hp) @5200	N·m (lb·ft) @2400	1998–2001
2.0	AZJ /BDC /BEJ /BER /BEV /BGD /BHP	cc (L; cu in) I4 SOHC 8V	PS (kW; hp) @5200	N·m (lb·ft) @3200	2001–2003
2.3 V5	AQN	cc (L; cu in) VR5 DOHC 20V	PS (kW; hp) @6200	N·m (lb·ft) @3300	2000–2005
2.5	BGP	cc (L; cu in) I5 DOHC 20V	PS (kW; hp)	N·m (lb·ft)	2006–
2.5	BPR /BPS	cc (L; cu in) I5 DOHC 20V	PS (kW; hp) @5000	N·m (lb·ft) @3750	2006–
3.2 RSI	AXJ	cc (L; cu in) VR6 DOHC 24V	PS (kW; hp)	N·m (lb·ft)	2000–2003
s Diesel engine	s Diesel engine	s Diesel engine	s Diesel engine	s Diesel engine	s Diesel engine
1.9 TDI	AGR / ALH	cc (L; cu in) I4 SOHC 8V turbo (Injection pump)	PS (kW; hp) @4000	N·m (lb·ft) @1900	1998–2004
1.9 TDI	ATD /AXR /BEW	cc (L; cu in) I4 SOHC 8V turbo ( Pumpe-Düse )	PS (kW; hp) @4000	N·m (lb·ft) @1800-2400	2000–2005
1.9 TDI	BJB / BKC / BXE / BLS	cc (L; cu in) I4 SOHC 8V turbo	PS (kW; hp) @4000	N·m (lb·ft) @1800	2003–
1.9 TDI	BSW	cc (L; cu in) I4 SOHC 8V turbo ( Pumpe-Düse )	PS (kW; hp) @4000	N·m (lb·ft) @1800-2200	2005–2006
