Week	Date	Opponent	Result	Attendance
1	September 5, 1993	Minnesota Vikings	W 24–7	44,120
2	September 12, 1993	at Seattle Seahawks	W 17–13	58,836
3	September 19, 1993	Cleveland Browns	L 19–16	48,617
4	Bye	Bye	Bye	Bye
5	October 3, 1993	at Kansas City Chiefs	L 24–9	77,395
6	October 10, 1993	New York Jets	W 24–20	41,627
7	October 18, 1993	at Denver Broncos	W 23–20	75,712
8	Bye	Bye	Bye	Bye
9	October 31, 1993	San Diego Chargers	L 30–23	45,122
10	November 7, 1993	at Chicago Bears	W 16–14	59,750
11	November 14, 1993	Kansas City Chiefs	L 31–20	66,553
12	November 21, 1993	at San Diego Chargers	W 12–7	60,615
13	November 28, 1993	at Cincinnati Bengals	L 16–10	43,272
14	December 5, 1993	at Buffalo Bills	W 25–24	79,478
15	December 12, 1993	Seattle Seahawks	W 27–23	38,161
16	December 19, 1993	Tampa Bay Buccaneers	W 27–20	40,532
17	December 26, 1993	at Green Bay Packers	L 28–0	54,482
18	January 2, 1994	Denver Broncos	W 33–30	66,904
