Institution	Location	Founded	Type	Enrollment	Nickname	Joined	Left	Current Conference
Anderson University	Anderson, South Carolina	1911	Private	2907	Trojans	1998	2010	SAC
Appalachian State University	Boone, North Carolina	1899	Public	17589	Mountaineers	1930	1967	SoCon ( Sun Belt in 2014) (NCAA Division I)
Catawba College	Salisbury, North Carolina	1851	Private	1300	Indians	1930	1975	SAC
Coker College	Hartsville, South Carolina	1908	Private	1200	Cobras	1991	2013	SAC
East Carolina University	Greenville, North Carolina	1907	Public	27386	Pirates	1947	1962	C-USA ( The American in 2014) (NCAA Division I)
Elon University	Elon, North Carolina	1889	Private	6720	Phoenix	1930	1975	SoCon ( CAA in 2014) (NCAA Division I)
Guilford College	Greensboro, North Carolina	1837	Private	2706	Quakers	1930	1988	ODAC (NCAA Division III)
High Point University	High Point, North Carolina	1924	Private	4519	Panthers	1930	1997	Big South (NCAA Division I)
Lenoir–Rhyne University	Hickory, North Carolina	1891	Private	1983	Bears	1930	1975	SAC
Longwood University	Farmville, Virginia	1839	Public	4800	Lancers	1995	2003	Big South (NCAA Division I)
Mars Hill College	Mars Hill, North Carolina	1856	Private	1370	Lions	1973	1975	SAC
Newberry College	Newberry, South Carolina	1856	Private	949	Wolves	1961	1972	SAC
University of North Carolina at Pembroke	Pembroke, North Carolina	1887	Public	6433	Braves	1976	1992	Peach Belt (PBC)
Presbyterian College	Clinton, South Carolina	1880	Private	1300	Blue Hose	1965	1972	Big South (NCAA Division I)
Queens University of Charlotte	Charlotte, North Carolina	1857	Private	2386	Royals	1995	2013	SAC
St. Andrews University	Laurinburg, North Carolina	1958	Private	600	Knights	1988	2012	AAC (NAIA)
Western Carolina University	Cullowhee, North Carolina	1889	Public	9608	Catamounts	1933	1975	SoCon (NCAA Division I)
