#	Name	Position	Height	Weight	Year	Former school	Hometown
1	Ron Anderson Jr.	Forward	6–8	255	RS Junior	Kansas State / McCallie School	Upper Marlboro, MD
3	LaVonte Dority	Guard	6–1	195	Freshman	Foreman HS	Chicago, IL
5	Jawanza Poland	Guard	6–4	200	Sophomore	Hutchinson CC / Wichita East	Wichita, KS
10	Anthony Crater	Guard	6–1	170	Junior	Ohio State University / Brewster Academy	Flint, MI
11	Shedrick Haynes	Guard	6–0	180	Junior	Lackawanna College / Booker HS	Sarasota, FL
13	Jordan Heath	Guard	6–0	185	Freshman	Tampa Prep	Detroit, MI
22	Shaun Noriega	Guard	6–4	195	Sophomore	North Port HS	North Port, FL
23	Mike Burwell	Guard	6–6	210	Sophomore	South Kent School / Cardinal McCarrick HS	East Brunswick, NJ
24	Augustus Gilchrist	Forward/Center	6–10	245	Junior	Maryland / Progressive Christian Academy	Clinton, MD
25	Alberto Damour	Forward	6–5	225	Senior	Poinciana HS	Poinciana, FL
31	Jarrid Famous	Forward/Center	6–11	240	Senior	Westchester CC / Blessed Sacrament HS	Bronx, NY
32	Toarlyn Fitzpatrick	Forward	6–8	230	Sophomore	King HS	Tampa, FL
34	Hugh Robertson	Guard	6–6	202	Junior	Tallahassee CC / Northeast HS	Macon, GA
