Place	Player	Country	Score	To par
1	Phil Mickelson	United States	67-67=134	–10
2	Justin Leonard	United States	71-66=137	–7
T3	Mark Brooks	United States	68-70=138	–6
T3	Kenny Perry	United States	66-72=138	–6
T3	Vijay Singh	Fiji	69-69=138	–6
T6	Lee Janzen	United States	68-71=139	–5
T6	Nick Price	Zimbabwe	68-72=139	–5
T8	Mike Brisky	United States	71-69=140	–4
T8	Russ Cochran	United States	68-72=140	–4
T8	David Edwards	United States	69-71=140	–4
T8	Brad Faxon	United States	72-68=140	–4
T8	Jim Furyk	United States	70-70=140	–4
T8	Greg Norman	Australia	68-72=140	–4
T8	Jesper Parnevik	Sweden	73-67=140	–4
T8	Tommy Tolles	United States	69-71=140	–4
T8	Tom Watson	United States	69-71=140	–4
T8	Ian Woosnam	Wales	68-72=140	–4
