Country/Region	Title	Television network	Winners	Presenters	Trainers
Brazil	O Grande Perdedor The Big Loser	SBT	Season 1, 2005: Andreia Dutra	Silvio Santos	Unknown
Brazil	Quem Perde Ganha Who Wins Loses	SBT	Season 2, 2007: Reginaldo de Souza	Lígia Mendes	Unknown
Germany	The Biggest Loser Germany	ProSieben	Season 1, 2009: Enrico Proba	Katarina Witt	Nele Sehrt Wojtek Vetter
Hungary	A Nagy Fogyás A Great Loss	TV2	Season 1, 2007: István Ferencsik	Gabriella Jakupcsek	Unknown
India	Biggest Loser Jeetega	Sahara One	Season 1, 2007: Sandeep Sachdev	Suniel Shetty	Deepika Mehta Yusef Khan
Latvia	XXL	TV3 Latvia	Season 1, 2008: Karl Ventas Krasti	Zane Vaļicka	Raivis Vidzis Aivars Vysotsky
Mexico	Cuánto Quieres Perder? How Much You Want to Lose?	Televisa	Season 1, 2008: Ignacio Mestas	Galilea Montijo	Unknown
Netherlands	The Biggest Loser Holland	SBS 6	Season 1, 2013: Current season	Marlayne Sahupala	Sandra van de Kamp Arjuna Lakner
Poland	Co Masz Do Stracenia? What Do You Have To Lose?	TV Puls	Season 1, 2008: Jaroslaw	Małgorzata Ostrowska-Królikowska	Unknown
Romania	Marele câștigător The Big Winner	Antena 1	Season 1, 2010 : Grațian Stan	Daiana Anghel	Florin Uceanu Cori Gramescu
Scandinavia	Biggest Loser	Kanal 5	Season 1, 2005 : Rooy Rodriguez Ramirez	Martin Birch	Pauline Nordin
Slovakia	Super Telo	STV	Season 1, 2006: Ján Mäsiar	Iveta Malachovská	Unknown
South Africa	The Biggest Loser South Africa	E.tv	Season 1, 2008: Sharon Haarhoff	Jasmyn Asvat	Unknown
Spain	La Báscula The Scale	Canal Sur	Season 1, 2013: Unknown	Enrique Sánchez	Unknown
