Name v t e	Pos.	Height	Weight	Club
Denis Šefik Category:Articles with hCards	GK	m ()	kg (lb)	PVK Budvanska rivijera
Andrija Prlainović Category:Articles with hCards	D	m ()	kg (lb)	VK Partizan
Živko Gocić Category:Articles with hCards	CF	m ()	kg (lb)	Olympiacos
Vanja Udovičić Category:Articles with hCards	CB	m ()	kg (lb)	Pro Recco
Dejan Savić Category:Articles with hCards	CB	m ()	kg (lb)	Sintez Kazan
Duško Pijetlović Category:Articles with hCards	CF	m ()	kg (lb)	VK Partizan
Nikola Rađen Category:Articles with hCards	CB	m ()	kg (lb)	VK Partizan
Filip Filipović Category:Articles with hCards	D	m ()	kg (lb)	VK Partizan
Aleksandar Ćirić Category:Articles with hCards	D	m ()	kg (lb)	PVK Budvanska rivijera
Aleksandar Šapić Category:Articles with hCards	D	m ()	kg (lb)	Shturm 2002 Chekhov
Vladimir Vujasinović Category:Articles with hCards	CB	m ()	kg (lb)	VK Partizan
Branko Peković Category:Articles with hCards	CF	m ()	kg (lb)	Dynamo Moscow
Slobodan Soro Category:Articles with hCards	GK	m ()	kg (lb)	VK Partizan
