Date	Tournament	Surface	Opponent in the Final	Score
Oct. 2, 1994	Mali Lošinj	Clay	Radka Surova	6–4, 6–2
Nov. 26, 1995	Majorca	Clay (I)	Andrea Noszály	6–4, 6–3
Sep. 14, 1997	Madrid	Clay	Nuria Montero	6–1, 6–0
Apr. 5, 1998	Athens	Clay	Christína Papadáki	7–5, 2–6, 6–3
Apr. 12, 1998	Dubai	Hard	Wynne Prakusya	6–4, 6–1
Nov. 14, 1999	Monterrey	Hard	Ansley Cargill	6–4, 6–2
Nov. 21, 1999	Campos	Clay	Miriam D’Agostini	5–7 6–3 6–2
May 28, 2000	Guimarães	Hard	Bahia Mouhtassine	6–0, 5–7, 7–6
Jun. 18, 2000	Lenzerheide	Clay	Julia Vakulenko	6–2, 3–6, 7–6
Oct. 21, 2001	Joué-lès-Tours	Hard (I)	Anne-Laure Heitz	1–6, 6–4, 6–0
Sep. 28, 2003	Jounieh	Clay	Ana Timotić	6–1, 7–5
Nov. 16, 2003	Mexico City	Hard	Melinda Czink	6–2, 6–3
Apr. 2, 2006	Poza Rica	Hard	Zsófia Gubacsi	6–4, 6–2
Jun. 19, 2006	Zagreb	Clay	Tathiana Garbin	7–6, 3–6, 7–6
Jul. 23, 2006	Rome	Clay	Alizé Cornet	6–2, 6–7, 6–4
Jun. 10, 2007	Zagreb	Clay	Ivana Lisjak	2–6, 7–6, 6–2
Jun. 17, 2007	Campobasso	Clay	Christina Wheeler	6–2, 6–0
Jul. 1, 2007	Istanbul	Hard	Maria Fernanda Alves	6–7, 7–5, 6–1
