Driver	Constructor	Laps	Time/Retired	Grid
David Coulthard	McLaren - Mercedes	71	1:27:45.927	7
Michael Schumacher	Ferrari	71	+2.190	1
Rubens Barrichello	Ferrari	71	+2.527	4
Kimi Räikkönen	Sauber - Petronas	71	+41.593	9
Olivier Panis	BAR - Honda	71	+53.775	10
Jos Verstappen	Arrows - Asiatech	70	+1 Lap	16
Eddie Irvine	Jaguar - Cosworth	70	+1 Lap	13
Jacques Villeneuve	BAR - Honda	70	+1 Lap	12
Nick Heidfeld	Sauber - Petronas	69	+2 Laps	6
Jean Alesi	Prost - Acer	69	+2 Laps	20
Luciano Burti	Prost - Acer	69	+2 Laps	17
Jenson Button	Benetton - Renault	60	Engine	21
Pedro de la Rosa	Jaguar - Cosworth	48	Transmission	14
Juan Pablo Montoya	Williams - BMW	41	Hydraulics	2
Fernando Alonso	Minardi - European	38	Gearbox	18
Tarso Marques	Minardi - European	25	Gearbox	22
Enrique Bernoldi	Arrows - Asiatech	17	Hydraulics	15
Jarno Trulli	Jordan - Honda	14	Disqualified	5
Ralf Schumacher	Williams - BMW	10	Brakes	3
Giancarlo Fisichella	Benetton - Renault	3	Engine	19
Mika Häkkinen	McLaren - Mercedes	1	Transmission	8
Heinz-Harald Frentzen	Jordan - Honda	0	Gearbox	11
