Club	Location	Stadium	Capacity	Current manager
Flora	Tallinn	A. Le Coq Arena	9,300	Pasi Rautiainen
Kalju	Tallinn	Hiiu Stadium	500	Fredo Getulio
Levadia	Tallinn	Kadrioru Stadium	4,750	Igor Prins
Maag Tammeka	Tartu	Tamme Stadium	2,000	Sergei Zamogilnõi
Sillamäe Kalev	Sillamäe	Sillamäe Kalevi Stadium	2,000	Vadym Dobizha
Tallinna Kalev	Tallinn	Kalevi Keskstaadion	12,000	Aavo Sarap
Trans	Narva	Kreenholmi Stadium	3,000	Aleksei Yagudin
Tulevik	Viljandi	Viljandi linnastaadion	2,500	Marko Lelov
TVMK	Tallinn	Kadrioru Stadium	4,750	Sergei Ratnikov
Vaprus	Pärnu	Pärnu Kalevi Stadium	1,900	Ants Kommussaar
