Year	Starts	Wins	Top 5	Top 10	Poles	Avg. Start	Avg. Finish	Winnings	Position	Team(s)
1983	5	0	0	0	0	25.6	30.4	$8,060	47th	#5 Sacks & Sons
1984	29	0	0	1	0	24.3	25.1	$75,183	19th	#51 Sacks & Sons
1986	8	0	0	1	0	22.4	30.4	$64,810	41st	#10 DiGard Motorsports
1987	16	0	0	0	0	23.6	29.8	$54,815	33rd	#50 Dingman Brothers Racing
1990	16	0	2	4	1	18.6	20.8	$216,148	32nd	#17/18/#46 Hendrick Motorsports
1991	11	0	0	0	0	27.5	30.4	$84,215	39th	#18 Daytona Speed Inc. #47 Close Racing
1992	20	0	0	0	0	23.5	25.1	$178,120	30th	#41 Larry Hedrick Motorsports
1993	19	0	0	1	0	24.3	24.2	$168,055	35th	#9 Melling Racing #68 TriStar Motorsports
1994	31	0	0	3	1	19.7	27.0	$411,728	31st	#77 U.S. Motorsports Inc.
1998	7	0	0	0	0	23.6	35.3	$296,880	53rd	#98 Yarborough-Burdette Motorsports
2004	3	0	0	0	0	36.3	41.7	$154,100	71st	#13 Daytona Speed Inc.
