Name	Years	Gender	Area	Authority	Decile	Roll
Amberley School	1–8	Coed	Amberley	State	7	230
Amuri Area School	1–13	Coed	Culverden	State	8	270
Broomfield School	1–8	Coed	Amberley	State	9	114
Cheviot Area School	1–13	Coed	Cheviot	State	7	170
Greta Valley School	1–8	Coed	Greta Valley	State	9	31
Hanmer Springs School	1–8	Coed	Hanmer Springs	State	9	99
Hurunui College	1–13	Coed	Hawarden	State	7	236
Leithfield School	1–8	Coed	Amberley	State	8	100
Omihi School	1–8	Coed	Hurunui	State	8	29
Rotherham School	1–6	Coed	Rotherham	State	10	36
Waiau School	1–6	Coed	Waiau	State	6	61
Waikari School	1–8	Coed	Waikari	State	4	34
Waipara School	1–8	Coed	Waipara	State	6	39
