Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Winner	August 4, 1986	Montreal	Hard	Gabriela Sabatini	Pam Shriver Helena Suková	7–6(2), 5–7, 6–4
Runner-up	October 13, 1986	Filderstadt	Carpet (I)	Gabriela Sabatini	Martina Navratilova Pam Shriver	6–7(5), 4–6
Winner	October 27, 1986	Indianapolis	Hard (I)	Lori McNeil	Candy Reynolds Anne Smith	4–5 ret.
Runner-up	January 12, 1987	Australian Open	Grass	Lori McNeil	Martina Navratilova Pam Shriver	1–6, 0–6
Runner-up	February 9, 1987	San Francisco	Carpet (I)	Gabriela Sabatini	Hana Mandlíková Wendy Turnbull	4–6, 6–7(4)
Runner-up	March 23, 1987	Washington	Carpet (I)	Lori McNeil	Elise Burgin Pam Shriver	1–6, 6–3, 4–6
Runner-up	April 6, 1987	Hilton Head Island	Clay	Lori McNeil	Mercedes Paz Eva Pfaff	6–7(6), 5–7
Runner-up	April 20, 1987	Houston	Clay	Lori McNeil	Kathy Jordan Martina Navratilova	2–6, 4–6
Runner-up	August 10, 1987	Los Angeles	Hard	Lori McNeil	Martina Navratilova Pam Shriver	3–6, 4–6
Winner	August 17, 1987	Toronto	Hard	Lori McNeil	Claudia Kohde-Kilsch Helena Suková	6–1, 6–2
Winner	September 28, 1987	New Orleans	Carpet (I)	Lori McNeil	Peanut Louie-Harper Heather Ludloff	6–3, 6–4
Runner-up	October 12, 1987	Filderstadt	Carpet (I)	Lori McNeil	Martina Navratilova Pam Shriver	1–6, 2–6
Runner-up	November 9, 1987	Chicago	Carpet (I)	Lori McNeil	Claudia Kohde-Kilsch Helena Suková	4–6, 3–6
Runner-up	February 8, 1988	Dallas	Carpet (I)	Gigi Fernández	Lori McNeil Eva Pfaff	6–2, 4–6, 5–7
Winner	March 7, 1988	Boca Raton	Hard	Katrina Adams	Claudia Kohde-Kilsch Helena Suková	4–6, 5–7, 6–4
Runner-up	March 14, 1988	Key Biscayne	Hard	Gigi Fernández	Steffi Graf Gabriela Sabatini	6–7(3), 3–6
Winner	April 11, 1988	Amelia Island	Clay	Eva Pfaff	Katrina Adams Penny Barg	4–6, 6–2, 7–6(5)
Winner	April 18, 1988	Houston	Clay	Katrina Adams	Lori McNeil Martina Navratilova	6–7(4), 6–2, 6–4
Runner-up	August 15, 1988	Montreal	Hard	Pam Shriver	Jana Novotná Helena Suková	6–7(2), 6–7(6)
Winner	September 19, 1988	Seoul	Hard	Pam Shriver	Jana Novotná Helena Suková	4–6, 6–2, 10–8
Runner-up	October 24, 1988	Indianapolis	Hard (I)	Katrina Adams	Larisa Savchenko Natalia Zvereva	2–6, 1–6
Winner	November 25, 1988	Tokyo	Carpet (I)	Katrina Adams	Gigi Fernández Robin White	7–5, 7–5
Winner	January 31, 1989	Tokyo	Carpet (I)	Katrina Adams	Mary Joe Fernández Claudia Kohde-Kilsch	6–3, 6–3, 7–6(5)
Winner	April 24, 1989	Houston	Clay	Katrina Adams	Gigi Fernández Lori McNeil	6–3, 6–4
Winner	June 19, 1989	Eastbourne	Grass	Katrina Adams	Jana Novotná Helena Suková	6–3 ret.
Winner	February 19, 1990	Washington	Carpet (I)	Martina Navratilova	Ann Henricksson Dinky Van Rensburg	6–0, 6–3
Runner-up	June 18, 1990	Eastbourne	Grass	Patty Fendick	Larisa Savchenko-Neiland Natalia Zvereva	4–6, 3–6
Winner	August 6, 1990	San Diego	Hard	Patty Fendick	Elise Burgin Rosalyn Fairbank-Nideffer	6–4, 7–6(5)
Winner	October 15, 1990	Filderstadt	Carpet (I)	Mary Joe Fernández	Mercedes Paz Arantxa Sánchez Vicario	7–5, 6–3
Winner	March 15, 1991	Key Biscayne	Hard	Mary Joe Fernández	Gigi Fernández Jana Novotná	7–5, 6–2
Runner-up	October 7, 1991	Zürich	Carpet (I)	Lori McNeil	Jana Novotná Andrea Strnadová	4–6, 3–6
Runner-up	October 22, 1991	Brighton	Carpet (I)	Lori McNeil	Pam Shriver Natasha Zvereva	1–6, 2–6
Runner-up	November 11, 1991	Philadelphia	Carpet (I)	Mary Joe Fernández	Jana Novotná Larisa Savchenko-Neiland	2–6, 4–6
