Team	Driver	Class	Chassis	Rounds
Escuderia TEC-Auto	Bruno Méndez	A	Dallara F308	All
Escuderia TEC-Auto	Víctor García	A	Dallara F308	1–5
Escuderia TEC-Auto	Gustavo Yacamán	A	Dallara F308	1–7
Escuderia TEC-Auto	Roberto Merhi	A	Dallara F308	9
Escuderia TEC-Auto	Toño Fernández	C	Dallara F306	1–8
Escuderia TEC-Auto	Marcos Martínez	C	Dallara F306	9
Campos F3 Racing	Adrián Campos, Jr.	A	Dallara F308	All
Campos F3 Racing	Germán Sánchez	A	Dallara F308	All
Campos F3 Racing	Carmen Jordá	C	Dallara F306	All
Campos F3 Racing	Natacha Gachnang	C	Dallara F306	All
GTA Motor Competición	Jaime Alguersuari	A	Dallara F308	1, 4, 6–7
GTA Motor Competición	Edoardo Piscopo	A	Dallara F308	2
GTA Motor Competición	Roberto Merhi	A	Dallara F308	5
GTA Motor Competición	Augusto Scalbi	A	Dallara F308	9
GTA Motor Competición	Jimmy Auby	C	Dallara F306	All
GTA Motor Competición	Nil Montserrat	C	Dallara F306	1–4
emiliodevillota.com	Alex Waters	A	Dallara F308	3
emiliodevillota.com	Will Bratt	A	Dallara F308	All
emiliodevillota.com	Gustavo Yacamán	C	Dallara F306	8–9
emiliodevillota.com	Cástor Benítez	C	Dallara F306	1–3, 5, 7
emiliodevillota.com	Alex Waters	C	Dallara F306	4
emiliodevillota.com	Máximo Cortés	C	Dallara F306	6
emiliodevillota.com	Isaac López Navarro	C	Dallara F306	8–9
Novo Team ECA	José Luis Abadín	A	Dallara F308	1–6
Novo Team ECA	José Luis Ituarte	C	Dallara F306	1–7
Meycom	Alejandro Núñez	A	Dallara F308	1
Meycom	Celso Míguez	A	Dallara F308	2–9
Cetea Sport	Sergio Canamasas	A	Dallara F308	1–2, 4–9
Cetea Sport	Toni Rubiejo	C	Dallara F306	1–2, 5
RP Motorsport	Víctor García	A	Dallara F308	6–9
RP Motorsport	Nicola de Marco	A	Dallara F308	All
RP Motorsport	David Fumanelli	A	Dallara F308	6–7
RP Motorsport	Xavi Barrio	C	Dallara F306	1–3
RP Motorsport	Augusto Scalbi	C	Dallara F306	4–5
RP Motorsport	Stefano Bizzarri	C	Dallara F306	6–9
Team West-Tec	Alex Waters	C	Dallara F306	1–2
Team West-Tec	Christian Ebbesvik	C	Dallara F306	1–2
Team West-Tec	Christian Ebbesvik	A	Dallara F308	3–9
Team West-Tec	Qinghua Ma	C	Dallara F306	4–9
Team West-Tec	Francisco Villar	C	Dallara F300	1–2
Team West-Tec	Francisco Villar	C	Dallara F306	3–9
Team West-Tec	Jonathan Legris	C	Dallara F300	All
Sammy & Zoy	Samuel Checa	C	Dallara F306	1, 3–5
Q8 Oils Hache Team	José Alonso Liste	C	Dallara F306	All
Q8 Oils Hache Team	Nelson Panciatici	C	Dallara F306	All
Q8 Oils Hache Team	Edgar Fernández	C	Dallara F306	All
Llusiá Racing	Pedro Quesada	C	Dallara F306	1–3
Llusiá Racing	Roberto Merhi	C	Dallara F306	4
Llusiá Racing	Xavi Barrio	C	Dallara F306	4
Llusiá Racing	Richard Campollo	C	Dallara F306	5
Victoria Racing Team Sur	Miguel Ángel Montes	C	Dallara F300	1
Victoria Racing Team Sur	Miguel Ángel Montes	C	Dallara F306	8
