Outcome	Date	Surface	Partner	Opponents	Score
Runner-up	28 April 1997	Clay	Petr Luxa	Mahesh Bhupathi Leander Paes	1–6, 1–6
Winner	12 July 2004	Clay	Jaroslav Levinský	José Acasuso Luis Horna	6–0, 2–6, 7–5
Runner-up	19 July 2004	Clay	Jaroslav Levinský	José Acasuso Flávio Saretta	6–4, 2–6, 4–6
Runner-up	25 July 2005	Clay	Michal Mertiňák	Jiří Novák Petr Pála	3–6, 3–6
Winner	10 April 2006	Clay	Tomáš Zíb	Lukáš Dlouhý Pavel Vízner	6–4, 6–3
Winner	24 July 2006	Clay	Jaroslav Levinský	Guillermo García-López Albert Portas	6–4, 6–4
Winner	23 April 2007	Clay	Jordan Kerr	Łukasz Kubot Oliver Marach	7–6 (7-4) , 1–6, [10–4]
Runner-up	20 May 2007	Clay	Leoš Friedl	Simon Aspelin Julian Knowle	6–7 (6-8) , 7–5, [5–10]
Runner-up	23 July 2007	Clay	Jaroslav Levinský	Lukáš Dlouhý Michal Mertiňák	1–6, 1–6
Winner	31 December 2007	Hard	Philipp Kohlschreiber	Jeff Coetzee Wesley Moodie	6–4, 4–6, [11–9]
