Region	Total Population	Manchu	Percentage in Manchu Population	Regional Percentage of Population
Total	1,335,110,869	10,410,585	100	0.77
Total (in all 31 provincial regions)	1,332,810,869	10,387,958	99.83	0.78
Northeast	109,513,129	6,951,280	66.77	6.35
North	164,823,663	3,002,873	28.84	1.82
East	392,862,229	122,861	1.18	0.03
South Central	375,984,133	120,424	1.16	0.03
Northwest	96,646,530	82,135	0.79	0.08
Southwest	192,981,185	57,785	0.56	0.03
Liaoning	43,746,323	5,336,895	51.26	12.20
Hebei	71,854,210	2,118,711	20.35	2.95
Jilin	27,452,815	866,365	8.32	3.16
Heilongjiang	38,313,991	748,020	7.19	1.95
Inner Mongolia	24,706,291	452,765	4.35	2.14
Beijing	19,612,368	336,032	3.23	1.71
Tianjin	12,938,693	83,624	0.80	0.65
Henan	94,029,939	55,493	0.53	0.06
Shandong	95,792,719	46,521	0.45	0.05
Guangdong	104,320,459	29,557	0.28	0.03
Shanghai	23,019,196	25,165	0.24	0.11
Ningxia	6,301,350	24,902	0.24	0.40
Guizhou	34,748,556	23,086	0.22	0.07
Xinjiang	21,815,815	18,707	0.18	0.09
Jiangsu	78,660,941	18,074	0.17	0.02
Shaanxi	37,327,379	16,291	0.16	0.04
Sichuan	80,417,528	15,920	0.15	0.02
Gansu	25,575,263	14,206	0.14	0.06
Yunnan	45,966,766	13,490	0.13	0.03
Hubei	57,237,727	12,899	0.12	0.02
Shanxi	25,712,101	11,741	0.11	0.05
Zhejiang	54,426,891	11,271	0.11	0.02
Guangxi	46,023,761	11,159	0.11	0.02
Anhui	59,500,468	8,516	0.08	0.01
Fujian	36,894,217	8,372	0.08	0.02
Qinghai	5,626,723	8,029	0.08	0.14
Hunan	65,700,762	7,566	0.07	0.01
Jiangxi	44,567,797	4,942	0.05	0.01
Chongqing	28,846,170	4,571	0.04	0.02
Hainan	8,671,485	3,750	0.04	0.04
Tibet	3,002,165	718	<0.01	0.02
Active Servicemen	2,300,000	22,627	0.24	1.05
