Model	Released	Form factor	Chipset	Memory Type	Max. Memory
Precision M6500	Dec 2009	17"	Intel PM55	DDR3 1066/1333/1600MHz	32GB
Precision M6400	Sept 2008	17"	Intel Q43	DDR2 PC6400 800MHz & DDR3 1066	16GB
Precision M6300	Aug 2007	17"	Intel 965PM Express	DDR2-667	8GB
Precision M4500	May 2010	15.6"	Intel QM57	DDR3 1066/1333MHz	16GB
Precision M4400	Jan 2009	15.4"	Intel PM45	DDR2 800MHz	8GB
Precision M4300	2007	15.4"	Intel PM965	DDR2 PC5300 667MHz	8GB
Precision M2400	2009	14.1"	Intel PM45	DDR2 800MHz	8GB
Precision M2300	2007	14.1"	Intel PM965	DDR2 PC6400 800MHz	4GB
Precision M90	2006	17"	Intel 945PM Express	DDR2-533 / DDR2-667	4GB
Precision M65	2006	15.4"	Intel 945	DDR2	4GB
Precision M70	2004	15.4"	Intel 915PM Express	DDR2-400 / DDR2-533	2GB
Precision M20	2004	14.1	Intel 915PM	DDR2-400/533	2GB
Precision M60	2003	15.4"	Intel 855PM	DDR	2GB
Precision M50	2002	15.0"	Intel 845MP	PC2100 DDR	1GB
Precision M40	2001	15.0	Intel 815	PC133	512 MB
