Name	Team	Qual 1	Qual 2	Best
Sébastien Bourdais	Newman/Haas Racing	1:15.978	1:13.915	1:13.915
Mario Domínguez	Herdez Competition	1:16.422	1:14.343	1:14.343
Justin Wilson	Mi-Jack Conquest Racing	1:16.087	1:14.354	1:14.354
Bruno Junqueira	Newman/Haas Racing	1:15.834	1:14.405	1:14.405
Patrick Carpentier	Forsythe Racing	1:16.617	1:14.625	1:14.625
Paul Tracy	Forsythe Racing	1:16.417	1:14.723	1:14.723
Jimmy Vasser	PKV Racing	1:16.620	1:15.183	1:15.183
Ryan Hunter-Reay	Herdez Competition	1:17.637	1:15.265	1:15.265
Oriol Servià	Dale Coyne Racing	1:17.890	1:15.395	1:15.395
Tarso Marques	Dale Coyne Racing	1:18.100	1:15.582	1:15.582
A. J. Allmendinger	RuSPORT	1:17.644	1:15.673	1:15.673
Roberto González	PKV Racing	1:18.154	1:15.791	1:15.791
Michel Jourdain, Jr.	RuSPORT	1:17.873	1:15.805	1:15.805
Rodolfo Lavín	Forsythe Racing	1:18.553	1:16.096	1:16.096
Alex Tagliani	Rocketsports Racing	1:16.712	1:16.103	1:16.103
Mario Haberfeld	Walker Racing	1:16.491	1:16.691	1:16.491
Nelson Philippe	Rocketsports Racing	1:18.373	1:17.191	1:17.191
Alex Sperafico	Mi-Jack Conquest Racing	1:20.139	1:17.736	1:17.736
