Week	Date	Opponent	Result	Attendance
1	September 3, 1995	at Washington Redskins	L 27-7	52,731
2	September 10, 1995	Philadelphia Eagles	L 31-19	45,004
3	September 17, 1995	at Detroit Lions	W 20-17	58,727
4	September 24, 1995	at Dallas Cowboys	L 34-20	64,560
5	October 1, 1995	Kansas City Chiefs	L 24-3	50,211
6	October 8, 1995	at New York Giants	L 27-21	68,463
7	October 15, 1995	Washington Redskins	W 24-20	42,370
8	Bye	Bye	Bye	Bye
9	October 29, 1995	Seattle Seahawks	W 20-14	39,600
10	November 5, 1995	at Denver Broncos	L 38-6	71,488
11	November 12, 1995	Minnesota Vikings	L 30-24	51,342
12	November 19, 1995	at Carolina Panthers	L 27-7	49,582
13	November 26, 1995	Atlanta Falcons	W 40-37	35,147
14	November 30, 1995	New York Giants	L 10-6	44,246
15	December 9, 1995	at San Diego Chargers	L 28-25	55,258
16	December 17, 1995	at Philadelphia Eagles	L 21-20	62,076
17	December 25, 1995	Dallas Cowboys	L 37-13	72,394
