Malayalam name	Transliteration	Concurrent Gregorian months	Sanskrit word and meaning	Zodiac sign
ചിങ്ങം	chi-ngnga-m	August–September	simha "lion"	Leo
കന്നി	ka-nni	September–October	kanyā "girl"	Virgo
തുലാം	thu-lā-m	October–November	tulā "balance"	Libra
വൃശ്ചികം	vRSh-chi-ka-m	November–December	vṛścika "scorpion"	Scorpio
ധനു	dha-nu	December–January	dhanu "bow, arc"	Sagittarius
മകരം	ma-ka-ra-m	January–February	mokara "sea-monster"	Capricorn
കുംഭം	kum-bha-m	February–March	kumbha "pitcher, water-pot"	Aquarius
മീനം	mee-na-m	March–April	mīna "(a specific kind of) fish"	Pisces
മേടം	mE-Da-m	April–May	meṣa "ram"	Aries
ഇടവം	i-Ta-va-m	May - June	vṛṣabha "bull"	Taurus
മിഥുനം	mi-thu-na-m	June–July	mithuna "a pair"	Gemini
