City/ municipality	Type	No. of Barangays	Population (2010)	Area (km²)	Pop. density (per km²)	Income Class	Zip Code
Angeles City	Highly urbanized city (independent of province)	33	326336	60.27	5415	1st class	2009
San Fernando	Component city (Capital)	36	285912	67.74	4221	1st Class	2000
Mabalacat	Component City	27	215610	83.18	2592	1st Class	2010
Apalit	Municipality	12	101537	61.47	1652	1st Class	2016
Arayat	Municipality	30	121348	134.48	902	1st Class	2012
Bacolor	Municipality	21	31508	71.70	439	3rd Class	2001
Candaba	Municipality	33	102399	176.40	580	1st class	2013
Floridablanca	Municipality	33	110846	175.48	632	1st Class	2006
Guagua	Municipality	31	111199	48.67	2285	1st Class	2003
Lubao	Municipality	44	150843	155.77	966	1st Class	2005
Macabebe	Municipality	25	70777	105.16	673	1st Class	2018
Magalang	Municipality	27	103597	97.32	1064	1st Class	2011
Masantol	Municipality	26	52407	48.25	1086	2nd Class	2017
Mexico	Municipality	43	146851	117.41	1251	1st Class	2021
Minalin	Municipality	15	44001	48.27	912	4th Class	2019
Porac	Municipality	29	111441	314.00	355	1st Class	2008
San Luis	Municipality	17	49311	56.83	868	3rd Class	2014
San Simon	Municipality	14	48353	57.37	843	3rd Class	2015
Santa Ana	Municipality	14	52001	39.84	1305	3rd Class	2022
Santa Rita	Municipality	10	38762	29.76	1302	4th Class	2002
Santo Tomas	Municipality	8	38062	21.30	1787	4th Class	2020
