Game	October	Opponent	Score	Decision	Record
1	4 (in Prague , Czech Republic	@ Tampa Bay Lightning	2 - 1	Lundqvist	1-0-0
2	5 (in Prague, Czech Republic)	Tampa Bay Lightning	2 - 1	Lundqvist	2-0-0
3	10	Chicago Blackhawks	4 - 2	Lundqvist	3-0-0
4	11	@ Philadelphia Flyers	4 - 3	Valiquette	4-0-0
5	13	New Jersey Devils	4 - 1	Lundqvist	5-0-0
6	15	Buffalo Sabres	3 - 1	Lundqvist	5-1-0
7	17	Toronto Maple Leafs	1 - 0 SO	Valiquette	6-1-0
8	18	@ Detroit Red Wings	5 - 4 OT	Lundqvist	6-1-1
9	20	Dallas Stars	2 - 1	Lundqvist	6-2-1
10	24	@ Columbus Blue Jackets	3 - 1	Lundqvist	7-2-1
11	25	Pittsburgh Penguins	3 - 2 SO	Lundqvist	8-2-1
12	27	@ New York Islanders	4 - 2	Lundqvist	9-2-1
13	30	Atlanta Thrashers	3 - 2	Lundqvist	10-2-1
