Pick #	NFL Team	Player	Position	College
225	Baltimore Colts	Jim Mills	Tackle	Hawaii
226	Houston Oilers	Kevin Potter	Defensive back	Missouri
227	Los Angeles Rams	Jack Belcher	Center	Boston College
228	Denver Broncos	Brian Hawkins	Defensive back	San Jose State
229	San Francisco 49ers	Mike Mularkey	Tight end	Florida
230	Chicago Bears	Rob Fada	Guard	Pittsburgh
231	Kansas City Chiefs	Adam Lingner	Center	Illinois
232	Philadelphia Eagles	Rich Pelzer	Tackle	Rhode Island
233	New England Patriots	Ricky Williams	Running back	Langston
234	Buffalo Bills	George Parker	Running back	Norfolk State
235	Chicago Bears	Mark Zavagnin	Linebacker	Notre Dame
236	Seattle Seahawks	Bob Clasby	Defensive tackle	Notre Dame
237	New York Giants	Ali Haji-Sheikh	Kicker	Michigan
238	Tampa Bay Buccaneers	Hasson Arbubakrr	Defensive tackle	Texas Tech
239	Minnesota Vikings	Rod Achter	Wide receiver	Toledo
240	New England Patriots	Mark Keel	Tight end	Arizona
241	Baltimore Colts	Chris Rose	Tackle	Stanford
242	St. Louis Cardinals	Otis Brown	Running back	Jackson State
243	Green Bay Packers	Robin Ham	Center	West Texas State
244	Pittsburgh Steelers	Blake Wingle	Guard	UCLA
245	San Diego Chargers	Mike Green	Linebacker	Oklahoma State
246	Dallas Cowboys	Al Gross	Defensive back	Arizona
247	New York Jets	Bobby Humphrey	Wide receiver	New Mexico State
248	Cincinnati Bengals	Stanley Wilson	Running back	Oklahoma
249	Los Angeles Raiders	Kent Jordan	Tight end	St. Mary's (CA)
250	Miami Dolphins	Mark Brown	Linebacker	Purdue
