Tournament	Surface	Week	Winner	Finalist	Semifinalists
Tokyo	Carpet (i)	February 2	Lindsay Davenport 6–4, 6–1	Magdalena Maleeva	Chanda Rubin Jelena Dokić
Indian Wells	Hard	March 8	Justine Henin-Hardenne 6–1, 6–4	Lindsay Davenport	Anastasia Myskina Nathalie Dechy
Miami	Hard	March 22	Serena Williams 6–1, 6–1	Elena Dementieva	Eleni Daniilidou Nadia Petrova
Charleston	Clay	April 12	Venus Williams 2–6, 6–2, 6–1	Conchita Martínez	Jelena Kostanić Patty Schnyder
Berlin	Clay	May 3	Amélie Mauresmo w/o	Venus Williams	Karolina Šprem Jennifer Capriati
Rome	Clay	May 10	Amélie Mauresmo 3–6, 6–3, 7–6(6)	Jennifer Capriati	Serena Williams Vera Zvonareva
San Diego	Hard	July 26	Lindsay Davenport 6–1, 6–1	Anastasia Myskina	Vera Zvonareva Elena Dementieva
Montréal	Hard	August 2	Amélie Mauresmo 6–1, 6–0	Elena Likhovtseva	Anastasia Myskina Vera Zvonareva
Moscow	Carpet (i)	October 11	Anastasia Myskina 7–5, 6–0	Elena Dementieva	Elena Bovina Lindsay Davenport
Zurich	Carpet (i)	October 18	Alicia Molik 4–6, 6–2, 6–3	Maria Sharapova	Patty Schnyder Elena Dementieva
