Draft	Round	Pick	Player	Nationality
1992	1	1	Roman Hamrlik Category:Articles with hCards	Czech Republic
1992	2	26	Drew Bannister Category:Articles with hCards	Canada
1992	3	49	Brent Gretzky Category:Articles with hCards	Canada
1992	4	74	Aaron Gavey Category:Articles with hCards	Canada
1992	5	97	Brantt Myhres Category:Articles with hCards	Canada
1992	6	122	Martin Tanguay	Canada
1992	7	145	Derek Wilkinson Category:Articles with hCards	Canada
1992	8	170	Dennis Maxwell	Canada
1992	9	193	Andrew Kemper	Canada
1992	10	218	Marc Tardif	Canada
1992	11	241	Tom MacDonald	Canada
1992	S	1	Cory Cross	Canada
1993	1	3	Chris Gratton	Canada
1993	2	29	Tyler Moss	Canada
1993	3	55	Allan Egeland	Canada
1993	4	81	Marian Kacir	Czech Republic
1993	5	107	Ryan Brown	Canada
1993	6	133	Kiley Hill	Canada
1993	7	159	Matthieu Raby	Canada
1993	8	185	Ryan Nauss	Canada
1993	9	211	Alexandre Laporte	Canada
1993	10	237	Brett Duncan	Canada
1993	11	263	Mark Szoke	Canada
1993	S	3	Brent Peterson	Canada
1994	1	8	Jason Wiemer	Canada
1994	2	34	Colin Cloutier	Canada
1994	3	55	Vadim Epanchintsev	Russia
1994	4	86	Dmitri Klevakin Category:Articles with hCards	Russia
1994	6	137	Daniel Juden	United States
1994	6	138	Bryce Salvador Category:Articles with hCards	Canada
1994	7	164	Chris Maillet	Canada
1994	8	190	Alexei Baranov	Russia
1994	9	216	Yuri Smirnov	Russia
1994	10	242	Shawn Gervais	Canada
1994	10	242	Brian White	United States
1994	S	8	Francois Bouchard	United States
1995	1	4	Daymond Langkow	Canada
1995	2	30	Mike McBain	Canada
1995	3	55	Shane Willis	Canada
1995	5	108	Konstantin Golokhvastov	Ukraine
1995	6	134	Eduard Pershin	Russia
1995	7	160	Cory Murphy	Canada
1995	8	186	Joe Cardarelli	Canada
1995	9	212	Zac Bierk	Canada
1996	1	16	Mario Larocque	Canada
1996	3	69	Curtis Tipler	Canada
1996	5	125	Jason Robinson	Canada
1996	6	152	Nikolai Ignatov	Russia
1996	6	157	Xavier Delisle	Canada
1996	7	179	Pavel Kubina	Czech Republic
1997	1	7	Paul Mara	United States
1997	2	33	Kyle Kos	Canada
1997	3	61	Matt Elich	United States
1997	5	108	Mark Thompson	Canada
1997	5	109	Jan Sulc Category:Articles with hCards	Czech Republic
1997	5	112	Karel Betik	Czech Republic
1997	6	153	Andrei Skopintsev	Russia
1997	7	168	Justin Jack	Canada
1997	7	170	Eero Somervuori	Finland
1997	7	185	Samuel St. Pierre	Canada
1997	8	198	Shawn Skolney	Canada
1997	9	224	Paul Comrie	Canada
1998	1	1	Vincent Lecavalier	Canada
1998	3	64	Brad Richards	Canada
1998	3	64	Dmitry Afanasenkov	Russia
1998	4	92	Eric Beaudoin	Canada
1998	5	121	Curtis Rich	Canada
1998	6	146	Sergei Kuznetsov	Russia
1998	7	174	Brett Allan	Canada
1998	7	194	Oak Hewer	Canada
1998	8	221	Daniel Hulak	Canada
1998	9	229	Chris Lyness	Canada
1998	9	252	Martin Cibak	Slovenia
1999	2	47	Sheldon Keefe	Canada
1999	3	67	Evgeny Konstantinov	Russia
1999	3	75	Brett Scheffelmaier	Canada
1999	3	88	Jimmie Olvestad	Sweden
1999	5	127	Kaspars Astashenko	Latvia
1999	5	148	Michal Lanicek	Czech Republic
1999	6	182	Fedor Fedorov	Russia
1999	7	187	Ivan Rachunek	Russia
1999	8	216	Erkki Rajamaki	Finland
1999	9	244	Mikko Kuparinen	Finland
2000	1	8	Nikita Alexeev	Russia
2000	2	34	Ruslan Zainullin	Russia
2000	3	81	Alexander Kharitonov	Russia
2000	4	126	Johan Hagglund	Sweden
2000	5	161	Pavel Sedov	Russia
2000	6	191	Aaron Gionet	Canada
2000	7	222	Marek Priechodsky	Slovakia
2000	7	226	Brian Eklund	United States
2000	7	226	Alexander Polukeyev	Russia
2000	9	263	Thomas Ziegler	Switzerland
2001	1	3	Alexander Svitov	Russia
2001	2	47	Alexander Polushin	Russia
2001	2	61	Andreas Holmqvist	Sweden
2001	3	94	Evgeny Artyukhin	Russia
2001	4	123	Aaron Lobb	Canada
2001	5	138	Paul Lynch	United States
2001	6	188	Art Femenella	United States
2001	7	219	Dennis Packard	United States
2001	7	222	Jeremy Van Hoof	Canada
2001	8	252	Jean-Francois Soucy	Canada
2001	8	259	Dmitri Bezrukov	Russia
2001	9	261	Vitali Smolyaninov	Russia
2001	9	281	Ilya Solarev	Kazakhstan
2001	9	289	Henrik Bergfors	Sweden
2002	2	60	Adam Henrich	Canada
2002	4	100	Dmitri Kazionov	Russia
2002	5	135	Joseph Pearce	United States
2002	5	162	Gerard Dicaire	Canada
2002	6	170	P.J. Atherton	United States
2002	6	174	Karri Akkanen	Finland
2002	6	183	Paul Ranger	Canada
2002	7	213	Fredrik Norrena	Finland
2002	8	233	Vasily Koshechkin	Russia
2002	8	255	Ryan Craig	Canada
2002	8	256	Darren Reid	Canada
2002	9	286	Alexei Glukhov	Russia
2002	9	287	John Toffey	United States
2003	2	34	Mike Egener Category:Articles with hCards	Germany
2003	2	41	Matt Smaby	United States
2003	3	96	Jonathan Boutin	Canada
2003	6	92	Doug O'Brien	Canada
2003	7	224	Gerald Coleman	United States
2003	7	227	Jay Rosehill	Canada
2003	8	255	Raimonds Danilics	Latvia
2003	8	256	Brady Greco	United States
2003	9	273	Albert Vishnyakov	Russia
2003	9	286	Zbynek Hrdel	Czech Republic
2003	9	287	Nick Tarnasky	Canada
2004	1	30	Andy Rogers	Canada
2004	2	65	Mark Tobin	Canada
2004	4	102	Mike Lundin	United States
2004	5	158	Brandon Elliott	Canada
2004	5	163	Dusty Collins	United States
2004	6	188	Jan Zapletal	Czech Republic
2004	6	191	Karri Ramo	Finland
2004	8	245	Justin Keller	Canada
2005	1	30	Vladimir Mihalik	Slovakia
2005	3	73	Radek Smolenak	Czech Republic
2005	3	89	Chris Lawrence	Canada
2005	4	92	Marek Bartanus	Slovakia
2005	4	102	Blair Jones	Canada
2005	5	133	Stanislav Lascek	Slovakia
2005	6	163	Marek Kvapil	Czech Republic
2005	6	165	Kevin Beech	Canada
2005	7	225	John Wessbecker	United States
2006	1	15	Riku Helenius	Finland
2006	3	78	Kevin Quick	United States
2006	6	168	Dane Crowley	Canada
2006	7	198	Denis Kazionov	Russia
2007	2	47	Dana Tyrell	Canada
