Year	Category	Champions	Runners-up	Score
1991	V	Laura Golarsa Magdalena Maleeva	Sandra Cecchini Laura Garrone	walkover
1995	III	Mercedes Paz Rene Simpson	Laura Golarsa Irina Spîrlea	7-5, 6-2
1996	IV	Laura Montalvo Paola Suárez	Alexia Dechaume Alexandra Fusai	6-7, 6-3, 6-4
1997	IV	Laura Montalvo Henrieta Nagyová	María José Gaidano Marion Maruska	6-3, 6-1
1998	IVa	Laura Montalvo Paola Suárez	Joannette Kruger Mirjana Lučić	walkover
1999	IV	Jelena Kostanić Michaela Paštiková	Meghann Shaughnessy Andreea Vanc	7-5, 6-7, 6-2
2000	III	Julie Halard Corina Morariu	Tina Križan Katarina Srebotnik	6-2, 6-2
2001	III	María Martínez Anabel Medina	Nadia Petrova Tina Pisnik	7-5, 6-4
2002	III	Tathiana Garbin Angelique Widjaja	Elena Bovina Henrieta Nagyová	7-5, 3-6, 6-4
2003	III	Petra Mandula Patricia Wartusch	Emmanuelle Gagliardi Patty Schnyder	6-3, 6-2
